0.5258612052 @ADJP -> @ADJP
0.0044083382 @PP -> @PP RB
0.0033624010 @PP -> @PP .
0.0029925944 @PP -> ADVP TO
0.0026902287 @PP -> @PP ADJP
0.0026302133 @PP -> TO ``
0.0025563974 @PP -> CONJP PP
0.0023358243 @PP -> PP :
0.5249514388 @PRN -> @PRN
0.1015973744 @PRN -> -LRB- NP
0.0743286108 @PRN -> @PRN ,
0.0379946844 @PRN -> , S
0.0329880984 @PRN -> , ''
0.0235728912 @PRN -> @PRN NP
0.0169615226 @PRN -> : NP
0.0162687870 @PRN -> -LRB- PP
0.0133328303 @PRN -> : CC
0.0122427048 @PRN -> : PP
0.0105776264 @PRN -> -LRB- NNP
0.0101279964 @PRN -> -LRB- S
0.0092365503 @PRN -> @PRN S
0.0092321348 @PRN -> , NP
0.0085555744 @PRN -> , ADVP
0.0084170168 @PRN -> -LRB- CC
0.0084014116 @PRN -> : S
0.0080065003 @PRN -> -LRB- ``
0.0078221899 @PRN -> , CC
0.0071015890 @PRN -> : ADVP
0.0070587781 @PRN -> -LRB- JJ
0.0060956970 @PRN -> , PP
0.0058656523 @PRN -> : SBAR
0.0057624542 @PRN -> -LRB- NN
0.0053791796 @PRN -> @PRN ADVP
0.0053287092 @PRN -> @PRN ''
0.0044221391 @PRN -> @PRN VP
0.0043075845 @PRN -> -LRB- ADVP
0.0037447542 @PRN -> , SBAR
0.0037392656 @PRN -> -LRB- ADJP
0.0033419852 @PRN -> @PRN PP
0.0032362683 @PRN -> -LRB- VP
0.5248665960 @QP -> @QP
0.1126925535 @QP -> @QP CD
0.0566665860 @QP -> $ CD
0.0392422002 @QP -> @QP TO
0.0327368039 @QP -> RB JJ
0.0263293898 @QP -> JJR IN
0.0211435978 @QP -> @QP $
0.0190317567 @QP -> @QP CC
0.0187353804 @QP -> IN CD
0.0179091314 @QP -> @QP NN
0.0178938485 @QP -> RB CD
0.0158633282 @QP -> CD TO
0.0151001994 @QP -> CD NN
0.0149047457 @QP -> @QP IN
0.0145956969 @QP -> RB $
0.0134084008 @QP -> IN $
0.0133470411 @QP -> IN JJS
0.0105000636 @QP -> CD CD
0.0076933827 @QP -> RB RB
0.0073392973 @QP -> CD CC
0.5253182205 @S -> @S
0.0705943024 @S -> @S NP
0.0354056785 @S -> @S ,
0.0312542594 @S -> @S CC
0.0271305715 @S -> @S .
0.0264251254 @S -> NP ``
0.0251851565 @S -> NP ADVP
0.0229303897 @S -> S CC
0.0215677200 @S -> S :
0.0203103587 @S -> S ,
0.0197705803 @S -> NP ADJP
0.0188358884 @S -> @S VP
0.0176296264 @S -> @S ''
0.0164759361 @S -> PP ,
0.0154788741 @S -> NP VP
0.0131898122 @S -> NP ,
0.0128295468 @S -> SBAR ,
0.0126412225 @S -> @S S
0.0115914843 @S -> `` S
0.0100070252 @S -> @S PP
0.0091814657 @S -> @S ADVP
0.0073477328 @S -> PP NP
0.0065591375 @S -> @S ``
0.0062253533 @S -> `` NP
0.0060208650 @S -> @S :
0.0059970082 @S -> ADVP ,
0.0040966586 @S -> ADVP NP
0.5256789689 @VP -> @VP
0.0334599521 @VP -> @VP ,
0.0258761431 @VP -> VB NP
0.0252664296 @VP -> @VP PP
0.0243270859 @VP -> VP ,
0.0241475468 @VP -> VBD NP
0.0235830931 @VP -> VP CC
0.0211170896 @VP -> VBG NP
0.0177061153 @VP -> @VP VP
0.0133965531 @VP -> VBN PP
0.0124559161 @VP -> VBN NP
0.0123400979 @VP -> @VP CC
0.0123355793 @VP -> VB CC
0.0120545595 @VP -> VBD RB
0.0116128615 @VP -> VB PRT
0.0114162613 @VP -> VBZ RB
0.0107850475 @VP -> VBZ ADVP
0.0105699827 @VP -> VBD ADVP
0.0097183607 @VP -> @VP ADVP
0.0094774895 @VP -> @VP NP
0.0090157699 @VP -> VBG CC
0.0079873673 @VP -> VBP RB
0.0078094524 @VP -> @VP ``
0.0075183021 @VP -> VBN CC
0.0069923685 @VP -> VBP ADVP
0.0066900582 @VP -> VBG PRT
0.0061308328 @VP -> MD RB
0.0057623116 @VP -> ADVP VBD
0.0053633714 @VP -> VB ADVP
0.0050742002 @VP -> VBG PP
0.0043046793 @VP -> VB PP
0.0042263663 @VP -> VBD PP
0.0041585289 @VP -> ADVP VBG
0.0039695289 @VP -> ADVP VB
0.0039194743 @VP -> VBN ADVP
0.0038274510 @VP -> VBD ,
0.0038090803 @VP -> ADVP VBN
0.0037241554 @VP -> VBZ NP
0.0037070774 @VP -> MD ADVP
0.0036544866 @VP -> ADVP VBZ
0.0035542691 @VP -> VBN PRT
0.0033034797 @VP -> VBD CC
0.0032504452 @VP -> @VP ''
0.0032289017 @VP -> VBG ADVP
0.0031134544 @VP -> VBN S
0.0029579881 @VP -> @VP :
0.0028764097 @VP -> @VP VB
0.0021707912 @VP -> @VP RB
0.0020927650 @VP -> VBP NP
0.0020707795 @VP -> VP :
0.0020423512 @VP -> VBZ ,
0.0018663743 @VP -> VBZ CC
0.0017019721 @VP -> VB ``
0.0016921737 @VP -> ADVP MD
0.0016580454 @VP -> VB ADJP
0.0016314288 @VP -> VBZ ``
0.0015042437 @VP -> VBZ ADJP
0.0014785589 @VP -> @VP VBG
0.0014248420 @VP -> @VP S
0.0014107300 @VP -> VBD ``
0.5254694596 ADJP -> ADJP
0.0639233030 ADJP -> RB JJ
0.0621110820 ADJP -> JJ
0.0485190028 ADJP -> JJ PP
0.0324767252 ADJP -> @ADJP JJ
0.0246188741 ADJP -> CD NN
0.0223994821 ADJP -> JJ NP
0.0204827485 ADJP -> QP
0.0169115563 ADJP -> @ADJP PP
0.0159053579 ADJP -> RBR JJ
0.0150945688 ADJP -> RB VBN
0.0148844628 ADJP -> JJR
0.0142663111 ADJP -> RB JJR
0.0119815248 ADJP -> JJ S
0.0111159735 ADJP -> JJ JJ
0.0104381367 ADJP -> NP JJ
0.0097067391 ADJP -> ADJP PP
0.0095765411 ADJP -> QP NN
0.0078725468 ADJP -> RBS JJ
0.0071163974 ADJP -> @ADJP ADJP
0.0060534655 ADJP -> NP JJR
0.0052970401 ADJP -> $ CD
0.0043366196 ADJP -> RB
0.0039807717 ADJP -> @ADJP NN
0.0038913383 ADJP -> VBN PP
0.0037676054 ADJP -> @ADJP S
0.0034157051 ADJP -> RB PP
0.0032689604 ADJP -> ADVP JJ
0.0028684640 ADJP -> JJ SBAR
0.0026358080 ADJP -> @ADJP SBAR
0.0026221602 ADJP -> ADJP SBAR
0.0024622462 ADJP -> @ADJP JJR
0.0024020989 ADJP -> VBN
0.0023016782 ADJP -> RB DT
0.0020272863 ADJP -> RB RB
0.0020251048 ADJP -> $ JJ
0.0017728537 ADJP -> ADVP VBN
0.5255115179 ADVP -> ADVP
0.2234731187 ADVP -> RB
0.0377365916 ADVP -> RB RB
0.0305915389 ADVP -> RB PP
0.0267970700 ADVP -> RB NP
0.0248285456 ADVP -> @ADVP PP
0.0238134162 ADVP -> NP RB
0.0149938122 ADVP -> RBR
0.0129550409 ADVP -> NP RBR
0.0102239518 ADVP -> IN NP
0.0094448540 ADVP -> @ADVP RB
0.0082498204 ADVP -> RBR RB
0.0072709498 ADVP -> IN PP
0.0066964902 ADVP -> IN
0.0064740229 ADVP -> RB RBR
0.0063928239 ADVP -> ADVP PP
0.0063182233 ADVP -> IN JJS
0.0052345543 ADVP -> NP IN
0.0051979603 ADVP -> JJ
0.0044619321 ADVP -> ADVP SBAR
0.0033337649 ADVP -> RB JJ
0.5206896552 CONJP -> CONJP
0.2137931034 CONJP -> @CONJP IN
0.1413793103 CONJP -> RB IN
0.0862068966 CONJP -> RB RB
0.0379310345 CONJP -> CC RB
0.5248699624 NP -> NP
0.0492791775 NP -> DT NN
0.0452499939 NP -> @NP NN
0.0433479333 NP -> @NP POS
0.0367935029 NP -> NP PP
0.0228067436 NP -> @NP NP
0.0223667068 NP -> NNP
0.0218851424 NP -> NNP NNP
0.0203669343 NP -> PRP
0.0199062708 NP -> @NP NNP
0.0185619557 NP -> @NP NNS
0.0167456753 NP -> NN
0.0160971694 NP -> NNP POS
0.0160135369 NP -> NNS
0.0143175384 NP -> CD NNS
0.0125246382 NP -> @NP .
0.0104539570 NP -> NP NP
0.0083253741 NP -> QP
0.0083005066 NP -> JJ NNS
0.0072795151 NP -> JJ NN
0.0071166164 NP -> $ CD
0.0065878927 NP -> CD NN
0.0057492518 NP -> DT NNS
0.0052906350 NP -> CD
0.0051015026 NP -> @NP ,
0.0049411477 NP -> NP SBAR
0.0044185080 NP -> QP NNS
0.0042337717 NP -> @NP SBAR
0.0040934833 NP -> NN NNS
0.0039081850 NP -> @NP PP
0.0034604506 NP -> NP VP
0.0033781308 NP -> NNS POS
0.0032887731 NP -> DT
0.0029394166 NP -> DT NNP
0.5262777277 PP -> PP
0.3352065790 PP -> IN NP
0.0814759166 PP -> TO NP
0.0224315243 PP -> @PP NP
0.0171988209 PP -> IN S
0.0103424108 PP -> VBG NP
0.0070670206 PP -> IN PP
0.5225807812 PRN -> PRN
0.2120826053 PRN -> @PRN -RRB-
0.0986096087 PRN -> @PRN ,
0.0824287196 PRN -> @PRN :
0.0279409184 PRN -> S
0.0258998866 PRN -> S ,
0.0190765146 PRN -> @PRN ``
0.0113809657 PRN -> , S
0.5029498797 PRT -> PRT
0.2504609144 PRT -> RP
0.1390167335 PRT -> RB
0.1075724723 PRT -> IN
0.5243834846 QP -> QP
0.2051812428 QP -> @QP CD
0.0899152438 QP -> CD CD
0.0561114170 QP -> RB CD
0.0268708675 QP -> IN CD
0.0238671220 QP -> CC JJR
0.0110843967 QP -> CC RB
0.0110014026 QP -> @QP NNS
0.0092357788 QP -> CC CD
0.0090493172 QP -> @QP DT
0.0081403620 QP -> CD NNS
0.0074641119 QP -> @QP NN
0.0060363697 QP -> DT CD
0.0058650955 QP -> @QP PDT
0.0057937877 QP -> @QP JJ
0.5200677630 S -> S
0.1984284182 S -> NP VP
0.1425485043 S -> VP
0.0437912638 S -> @S VP
0.0371322607 S -> @S .
0.0265204648 S -> @S ''
0.0113978822 S -> NP
0.0103477013 S -> NP ADJP
0.0097657417 S -> @S S
0.5079867857 SBAR -> SBAR
0.1849695907 SBAR -> IN S
0.1285835793 SBAR -> WHNP S
0.0843466414 SBAR -> WHADVP S
0.0688190525 SBAR -> S
0.0252943504 SBAR -> VP
0.5255246870 VP -> VP
0.0621631703 VP -> @VP PP
0.0365162781 VP -> VBN PP
0.0359016673 VP -> VB NP
0.0324901233 VP -> TO VP
0.0194636587 VP -> @VP VP
0.0194218749 VP -> VBG NP
0.0175346540 VP -> VBD
0.0169140804 VP -> VBN NP
0.0164200821 VP -> @VP NP
0.0152166954 VP -> VBZ
0.0151959418 VP -> MD VP
0.0146244549 VP -> VBN
0.0137966409 VP -> @VP S
0.0135303874 VP -> @VP SBAR
0.0129571490 VP -> VBD NP
0.0114293726 VP -> VBN S
0.0095378995 VP -> VBZ NP
0.0089827091 VP -> VBZ VP
0.0078047250 VP -> VB PP
0.0077047906 VP -> VB VP
0.0075923772 VP -> VB S
0.0074732160 VP -> VBP
0.0073681445 VP -> VBD SBAR
0.0071792951 VP -> VBG PP
0.0069864196 VP -> VBN VP
0.0069829020 VP -> VBD VP
0.0064631083 VP -> @VP ADVP
0.0061938615 VP -> VBP VP
0.0052954392 VP -> VB
0.0047090467 VP -> VBG S
0.0044924220 VP -> VBP NP
0.0044709695 VP -> VBD PP
0.0043224201 VP -> VBD S
0.0040643425 VP -> VB SBAR
0.0032749934 VP -> VBN SBAR
0.5151680282 WHADVP -> WHADVP
0.4598013796 WHADVP -> WRB
0.0250305921 WHADVP -> WRB RB
0.5244054154 WHNP -> WHNP
0.1801208011 WHNP -> WDT
0.1712188900 WHNP -> WP
0.1151743202 WHNP -> IN
0.0090805734 WHNP -> DT
