berkeley_neural_parser_result,item,condition,disambPosition,Sentence,,,,Ans,Ans,Type,,,,,,
(S (NP (NNP Gerald)) (VP (VBD introduced) (NP (PRP himself)) (PP (TO to) (NP (NP (DT the) (NN niece)) (PP (IN of) (NP (NP (DT the) (NNS billionaires)) (SBAR (WHNP (WP who)) (S (VP (VBZ sails) (NP (JJ vintage) (NNS yachts)) (PP (IN around) (NP (DT the) (NN Vineyard))))))))))) (. .)),52,AttachHigh,11,Gerald introduced himself to the niece of the billionaires who sails vintage yachts around the Vineyard.,What kind of yachts were sailed?,Old ones,Contemporary ones,1,1,Non-ambig,,,,1,,
(S (NP (NNP Gerald)) (VP (VBD introduced) (NP (PRP himself)) (PP (TO to) (NP (NP (DT the) (NNS nieces)) (PP (IN of) (NP (NP (DT the) (NN billionaire)) (SBAR (WHNP (WP who)) (S (VP (VBZ sails) (NP (JJ vintage) (NNS yachts)) (PP (IN around) (NP (DT the) (NN Vineyard))))))))))) (. .)),52,AttachLow,11,Gerald introduced himself to the nieces of the billionaire who sails vintage yachts around the Vineyard.,What kind of yachts were sailed?,Old ones,Contemporary ones,1,1,Non-ambig,,,,,,1
"(S (PP (IN At) (NP (DT the) (NN potluck))) (, ,) (NP (NNP Marcus)) (VP (VBD chatted) (PP (IN with) (NP (NP (DT the) (NN aunt)) (PP (IN of) (NP (NP (DT the) (NN nun)) (SBAR (WHNP (WP who)) (S (VP (VBZ bakes) (NP (NN sugar) (NNS cookies)) (PP (IN with) (NP (JJ cute) (NNS designs))))))))))) (. .))",53,AttachMulti,13,"At the potluck, Marcus chatted with the aunt of the nun who bakes sugar cookies with cute designs .",What kind of cookies were they?,Oatmeal cookies,Sugar cookies,0,0,Non-ambig,,,,,,1
"(S (PP (IN At) (NP (DT the) (NN potluck))) (, ,) (NP (NNP Marcus)) (VP (VBD chatted) (PP (IN with) (NP (NP (DT the) (NN aunt)) (PP (IN of) (NP (NP (DT the) (NNS nuns)) (SBAR (WHNP (WP who)) (S (VP (VBP bakes) (NP (NN sugar) (NNS cookies)) (PP (IN with) (NP (JJ cute) (NNS designs))))))))))) (. .))",53,AttachHigh,13,"At the potluck, Marcus chatted with the aunt of the nuns who bakes sugar cookies with cute designs .",What kind of cookies were they?,Oatmeal cookies,Sugar cookies,0,0,Non-ambig,,1,,,,
"(S (PP (IN At) (NP (DT the) (NN potluck))) (, ,) (NP (NNP Marcus)) (VP (VBD chatted) (PP (IN with) (NP (NP (DT the) (NNS aunts)) (PP (IN of) (NP (NP (DT the) (NN nun)) (SBAR (WHNP (WP who)) (S (VP (VBZ bakes) (NP (NN sugar) (NNS cookies)) (PP (IN with) (NP (JJ cute) (NNS designs))))))))))) (. .))",53,AttachLow,13,"At the potluck, Marcus chatted with the aunts of the nun who bakes sugar cookies with cute designs .",What kind of cookies were they?,Oatmeal cookies,Sugar cookies,0,0,Non-ambig,,,,1,,
"(S (PP (IN During) (NP (DT the) (NN budget) (NN negotiation))) (, ,) (NP (NNP Janet)) (VP (VBD charmed) (NP (NP (DT the) (NN assistant)) (PP (IN of) (NP (DT the) (NN executive))) (SBAR (WHNP (WP who)) (S (VP (VBZ decides) (NP (RB almost) (NN everything)) (PP (IN in) (NP (NN secret)))))))) (. .))",54,AttachMulti,13,"During the budget negotiation, Janet charmed the assistant of the executive who decides almost everything in secret .",What was the venue?,A casual party,A business meeting,0,0,Non-ambig,,,,1,,
"(S (PP (IN During) (NP (DT the) (NN budget) (NN negotiation))) (, ,) (NP (NNP Janet)) (VP (VBD charmed) (NP (NP (DT the) (NN assistant)) (PP (IN of) (NP (DT the) (NNS executives))) (SBAR (WHNP (WP who)) (S (VP (VBZ decides) (NP (RB almost) (NN everything)) (PP (IN in) (NP (NN secret)))))))) (. .))",54,AttachHigh,13,"During the budget negotiation, Janet charmed the assistant of the executives who decides almost everything in secret .",What was the venue?,A casual party,A business meeting,0,0,Non-ambig,,,,,,1
"(S (PP (IN During) (NP (DT the) (NN budget) (NN negotiation))) (, ,) (NP (NNP Janet)) (VP (VBD charmed) (NP (NP (DT the) (NNS assistants)) (PP (IN of) (NP (DT the) (NN executive))) (SBAR (WHNP (WP who)) (S (VP (VBZ decides) (NP (RB almost) (NN everything)) (PP (IN in) (NP (NN secret)))))))) (. .))",54,AttachLow,13,"During the budget negotiation, Janet charmed the assistants of the executive who decides almost everything in secret .",What was the venue?,A casual party,A business meeting,0,0,Non-ambig,,1,,,,
"(S (PP (IN On) (NP (DT the) (NN fishing) (NN trip))) (, ,) (NP (PRP we)) (VP (VBD laughed) (PP (IN at) (NP (NP (DT the) (NN uncle)) (PP (IN of) (NP (NP (DT the) (NN sailor)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBN confused) (PP (IN about) (NP (NP (DT the) (NN motor)) (PP (IN on) (NP (DT the) (NN boat)))))))))))))) (. .))",55,AttachMulti,14,"On the fishing trip, we laughed at the uncle of the sailor who was confused about the motor on the boat .",Who got confused?,The uncle,The sailor,NA,,Ambig,1,,,,,
"(S (PP (IN On) (NP (DT the) (NN fishing) (NN trip))) (, ,) (NP (PRP we)) (VP (VBD laughed) (PP (IN at) (NP (NP (DT the) (NN uncle)) (PP (IN of) (NP (NP (DT the) (NNS sailors)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBN confused) (PP (IN about) (NP (NP (DT the) (NN motor)) (PP (IN on) (NP (DT the) (NN boat)))))))))))))) (. .))",55,AttachHigh,14,"On the fishing trip, we laughed at the uncle of the sailors who was confused about the motor on the boat .",Who got confused?,The uncle,The sailors,1,1,Ambig,,,1,,,
"(S (PP (IN On) (NP (DT the) (NN fishing) (NN trip))) (, ,) (NP (PRP we)) (VP (VBD laughed) (PP (IN at) (NP (NP (DT the) (NNS uncles)) (PP (IN of) (NP (NP (DT the) (NN sailor)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBN confused) (PP (IN about) (NP (NP (DT the) (NN motor)) (PP (IN on) (NP (DT the) (NN boat)))))))))))))) (. .))",55,AttachLow,14,"On the fishing trip, we laughed at the uncles of the sailor who was confused about the motor on the boat .",Who got confused?,The uncles,The sailor,0,0,Ambig,,,,,1,
"(S (PP (IN At) (NP (NN trial))) (, ,) (NP (PRP we)) (VP (VBD scrutinized) (NP (NP (DT the) (NN prisoner)) (PP (IN of) (NP (DT the) (NNP FBI) (NN agent))) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBG lying) (PP (IN about) (NP (NP (DT the) (NN incident)) (PP (IN at) (NP (DT the) (NN casino))))))))))) (. .))",56,AttachMulti,12,"At trial, we scrutinized the prisoner of the FBI agent who was lying about the incident at the casino .",Who lied?,The prisoner,The FBI agent,NA,,Ambig,,,,,1,
"(S (PP (IN At) (NP (NN trial))) (, ,) (NP (PRP we)) (VP (VBD scrutinized) (NP (NP (DT the) (NN prisoner)) (PP (IN of) (NP (NP (DT the) (NNP FBI) (NNS agents)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBG lying) (PP (IN about) (NP (NP (DT the) (NN incident)) (PP (IN at) (NP (DT the) (NN casino))))))))))))) (. .))",56,AttachHigh,12,"At trial, we scrutinized the prisoner of the FBI agents who was lying about the incident at the casino .",Who lied?,The prisoner,The FBI agents,1,1,Ambig,1,,,,,
"(S (PP (IN At) (NP (NN trial))) (, ,) (NP (PRP we)) (VP (VBD scrutinized) (NP (NP (DT the) (NNS prisoners)) (PP (IN of) (NP (NP (DT the) (NNP FBI) (NN agent)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBG lying) (PP (IN about) (NP (NP (DT the) (NN incident)) (PP (IN at) (NP (DT the) (NN casino))))))))))))) (. .))",56,AttachLow,12,"At trial, we scrutinized the prisoners of the FBI agent who was lying about the incident at the casino .",Who lied?,The prisoners,The FBI agent,0,0,Ambig,,,1,,,
"(S (PP (IN During) (NP (DT the) (NN demonstration))) (, ,) (NP (NN someone)) (VP (VBD photographed) (NP (NP (DT the) (NN soldier)) (PP (IN of) (NP (DT the) (NN lieutenant))) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VP (VBN camouflaged)) (CC and) (VP (VBG hiding) (PP (IN in) (NP (DT the) (NNS trees)))))))))) (. .))",57,AttachMulti,12,"During the demonstration, someone photographed the soldier of the lieutenant who was camouflaged and hiding in the trees .",Who hid in the trees?,The soldier,The lieutenant,NA,,Ambig,,,1,,,
"(S (PP (IN During) (NP (DT the) (NN demonstration))) (, ,) (NP (NN someone)) (VP (VBD photographed) (NP (NP (DT the) (NN soldier)) (PP (IN of) (NP (DT the) (NNS lieutenants))) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VP (VBN camouflaged)) (CC and) (VP (VBG hiding) (PP (IN in) (NP (DT the) (NNS trees)))))))))) (. .))",57,AttachHigh,12,"During the demonstration, someone photographed the soldier of the lieutenants who was camouflaged and hiding in the trees .",Who hid in the trees?,The soldier,The lieutenants,1,1,Ambig,,,,,1,
"(S (PP (IN During) (NP (DT the) (NN demonstration))) (, ,) (NP (NN someone)) (VP (VBD photographed) (NP (NP (DT the) (NNS soldiers)) (PP (IN of) (NP (DT the) (NN lieutenant))) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VP (VBN camouflaged)) (CC and) (VP (VBG hiding) (PP (IN in) (NP (DT the) (NNS trees)))))))))) (. .))",57,AttachLow,12,"During the demonstration, someone photographed the soldiers of the lieutenant who was camouflaged and hiding in the trees .",Who hid in the trees?,The soldiers,The lieutenant,0,0,Ambig,1,,,,,
(S (NP (NNP Karl)) (VP (VBD recognized) (NP (NP (DT the) (NN hostage)) (PP (IN of) (NP (DT the) (NN pirate))) (SBAR (WHNP (WP who)) (S (VP (VBD was) (PP (IN on) (NP (NN TV))) (NP (DT this) (NN morning)) (PP (IN on) (NP (DT the) (JJ local) (NN news)))))))) (. .)),58,AttachMulti,9,Karl recognized the hostage of the pirate who was on TV this morning on the local news .,Who was on TV this morning?,The hostage,The pirate,NA,,Ambig,,1,,,,
(S (NP (NNP Karl)) (VP (VBD recognized) (NP (NP (DT the) (NN hostage)) (PP (IN of) (NP (DT the) (NNS pirates))) (SBAR (WHNP (WP who)) (S (VP (VBD was) (PP (IN on) (NP (NN TV))) (NP (DT this) (NN morning)) (PP (IN on) (NP (DT the) (JJ local) (NN news)))))))) (. .)),58,AttachHigh,9,Karl recognized the hostage of the pirates who was on TV this morning on the local news .,Who was on TV this morning?,The hostage,The pirates,1,1,Ambig,,,,1,,
(S (NP (NNP Karl)) (VP (VBD recognized) (NP (NP (DT the) (NNS hostages)) (PP (IN of) (NP (DT the) (NN pirate))) (SBAR (WHNP (WP who)) (S (VP (VBD was) (PP (IN on) (NP (NN TV))) (NP (DT this) (NN morning)) (PP (IN on) (NP (DT the) (JJ local) (NN news)))))))) (. .)),58,AttachLow,9,Karl recognized the hostages of the pirate who was on TV this morning on the local news .,Who was on TV this morning?,The hostages,The pirate,0,0,Ambig,,,,,,1
"(S (PP (IN During) (NP (DT the) (NN play))) (, ,) (NP (NP (PRP we)) (DT all)) (VP (VBD heckled) (NP (NP (DT the) (NN murderer)) (PP (IN of) (NP (NP (DT the) (NN prince)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBN disguised) (PP (IN as) (NP (NP (DT a) (NN peasant)) (PP (IN from) (NP (JJ nearby) (NNP Trosselheim))))))))))))) (. .))",59,AttachMulti,13,"During the play, we all heckled the murderer of the prince who was disguised as a peasant from nearby Trosselheim .",Who dressed as a peasant?,The murderer,The prince,NA,,Ambig,,,,,,1
"(S (PP (IN During) (NP (DT the) (NN play))) (, ,) (NP (NP (PRP we)) (DT all)) (VP (VBD heckled) (NP (NP (DT the) (NN murderer)) (PP (IN of) (NP (NP (DT the) (NNS princes)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBN disguised) (PP (IN as) (NP (NP (DT a) (NN peasant)) (PP (IN from) (NP (JJ nearby) (NNP Trosselheim))))))))))))) (. .))",59,AttachHigh,13,"During the play, we all heckled the murderer of the princes who was disguised as a peasant from nearby Trosselheim .",Who dressed as a peasant?,The murderer,The princes,1,1,Ambig,,1,,,,
"(S (PP (IN During) (NP (DT the) (NN play))) (, ,) (NP (NP (PRP we)) (DT all)) (VP (VBD heckled) (NP (NP (DT the) (NNS murderers)) (PP (IN of) (NP (NP (DT the) (NN prince)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBN disguised) (PP (IN as) (NP (NP (DT a) (NN peasant)) (PP (IN from) (NP (JJ nearby) (NNP Trosselheim))))))))))))) (. .))",59,AttachLow,13,"During the play, we all heckled the murderers of the prince who was disguised as a peasant from nearby Trosselheim .",Who dressed as a peasant?,The murderers,The prince,0,0,Ambig,,,,1,,
"(S (PP (IN At) (NP (DT the) (NN charity) (NN show))) (, ,) (NP (NNP Noreen)) (VP (VBD nodded) (PP (TO to) (NP (NP (DT the) (NN sidekick)) (PP (IN of) (NP (DT the) (NN actor))) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBG juggling) (NP (NP (JJ sharp) (NNS knives)) (CC and) (NP (NN glass) (NNS bottles)))))))))) (. .))",60,AttachMulti,14,"At the charity show, Noreen nodded to the sidekick of the actor who was juggling sharp knives and glass bottles .",Who juggled sharp knives?,The sidekick,The actor,NA,,Ambig,,,,1,,
"(S (PP (IN At) (NP (DT the) (NN charity) (NN show))) (, ,) (NP (NNP Noreen)) (VP (VBD nodded) (PP (TO to) (NP (NP (DT the) (NN sidekick)) (PP (IN of) (NP (DT the) (NNS actors))) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBG juggling) (NP (NP (JJ sharp) (NNS knives)) (CC and) (NP (NN glass) (NNS bottles)))))))))) (. .))",60,AttachHigh,14,"At the charity show, Noreen nodded to the sidekick of the actors who was juggling sharp knives and glass bottles .",Who juggled sharp knives?,The sidekick,The actors,1,1,Ambig,,,,,,1
"(S (PP (IN At) (NP (DT the) (NN charity) (NN show))) (, ,) (NP (NNP Noreen)) (VP (VBD nodded) (PP (TO to) (NP (NP (DT the) (NNS sidekicks)) (PP (IN of) (NP (NP (DT the) (NN actor)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBG juggling) (NP (NP (JJ sharp) (NNS knives)) (CC and) (NP (NN glass) (NNS bottles)))))))))))) (. .))",60,AttachLow,14,"At the charity show, Noreen nodded to the sidekicks of the actor who was juggling sharp knives and glass bottles .",Who juggled sharp knives?,The sidekicks,The actor,0,0,Ambig,,1,,,,
(S (NP (DT No) (NN one)) (VP (ADVP (RB quite)) (VBD knew) (SBAR (WHADVP (WRB how)) (S (VP (TO to) (VP (VB respond) (PP (TO to) (NP (NP (DT the) (NNS buddies)) (PP (IN of) (NP (NP (DT the) (NNS janitors)) (SBAR (WHNP (WP who)) (S (VP (VBP burp) (PP (IN without) (S (VP (VBG excusing) (NP (PRP themselves))))))))))))))))) (. .)),61,AttachMulti,15,No one quite knew how to respond to the buddies of the janitors who burp without excusing themselves .,Did everyone excuse themselves?,Yes,No,0,0,Non-ambig,1,,,,,
(S (NP (DT No) (NN one)) (VP (ADVP (RB quite)) (VBD knew) (SBAR (WHADVP (WRB how)) (S (VP (TO to) (VP (VB respond) (PP (TO to) (NP (NP (DT the) (NNS buddies)) (PP (IN of) (NP (NP (DT the) (NN janitor)) (SBAR (WHNP (WP who)) (S (VP (VBP burp) (PP (IN without) (S (VP (VBG excusing) (NP (PRP themselves))))))))))))))))) (. .)),61,AttachHigh,15,No one quite knew how to respond to the buddies of the janitor who burp without excusing themselves .,Did everyone excuse themselves?,Yes,No,0,0,Non-ambig,,,1,,,
(S (NP (DT No) (NN one)) (VP (ADVP (RB quite)) (VBD knew) (SBAR (WHADVP (WRB how)) (S (VP (TO to) (VP (VB respond) (PP (TO to) (NP (NP (DT the) (NN buddy)) (PP (IN of) (NP (NP (DT the) (NNS janitors)) (SBAR (WHNP (WP who)) (S (VP (VBP burp) (PP (IN without) (S (VP (VBG excusing) (NP (PRP themselves))))))))))))))))) (. .)),61,AttachLow,15,No one quite knew how to respond to the buddy of the janitors who burp without excusing themselves .,Did everyone excuse themselves?,Yes,No,0,0,Non-ambig,,,,,1,
(S (NP (DT The) (JJ cunning) (NNP Wally)) (VP (VBD outmaneuvered) (NP (NP (DT the) (NNS henchmen)) (PP (IN of) (NP (NP (DT the) (NNS villains)) (SBAR (WHNP (WP who)) (S (ADVP (RB often)) (VP (VBP fail) (S (VP (TO to) (VP (VB carry) (PRT (RP out)) (NP (DT the) (NN plot)))))))))))) (. .)),62,AttachMulti,12,The cunning Wally outmaneuvered the henchmen of the villains who often fail to carry out the plot .,Do the plots always succeed?,Yes,No,0,0,Non-ambig,,,,,1,
(S (NP (DT The) (JJ cunning) (NNP Wally)) (VP (VBD outmaneuvered) (NP (NP (DT the) (NNS henchmen)) (PP (IN of) (NP (NP (DT the) (NN villain)) (SBAR (WHNP (WP who)) (S (ADVP (RB often)) (VP (VBP fail) (S (VP (TO to) (VP (VB carry) (PRT (RP out)) (NP (DT the) (NN plot)))))))))))) (. .)),62,AttachHigh,12,The cunning Wally outmaneuvered the henchmen of the villain who often fail to carry out the plot .,Do the plots always succeed?,Yes,No,0,0,Non-ambig,1,,,,,
(S (NP (DT The) (JJ cunning) (NNP Wally)) (VP (VBD outmaneuvered) (NP (NP (DT the) (NN henchman)) (PP (IN of) (NP (NP (DT the) (NNS villains)) (SBAR (WHNP (WP who)) (S (ADVP (RB often)) (VP (VBP fail) (S (VP (TO to) (VP (VB carry) (PRT (RP out)) (NP (DT the) (NN plot)))))))))))) (. .)),62,AttachLow,12,The cunning Wally outmaneuvered the henchman of the villains who often fail to carry out the plot .,Do the plots always succeed?,Yes,No,0,0,Non-ambig,,,1,,,
"(S (PP (IN Down) (PP (IN at) (NP (DT the) (NN pub)))) (, ,) (NP (NNP Ollie)) (VP (VBD gossiped) (PP (IN about) (NP (NP (DT the) (NNS daughters)) (PP (IN of) (NP (NP (DT the) (NNS nurses)) (SBAR (WHNP (WP who)) (S (VP (VBD were) (PP (IN at) (NP (NN church))) (NP (JJ last) (NNP Sunday)) (PP (IN in) (NP (JJ grimy) (NNS shorts))))))))))) (. .))",63,AttachMulti,14,"Down at the pub, Ollie gossiped about the daughters of the nurses who were at church last Sunday in grimy shorts .",Where was Ollie?,A pub,A church,1,1,Non-ambig,,,1,,,
"(S (PP (IN Down) (PP (IN at) (NP (DT the) (NN pub)))) (, ,) (NP (NNP Ollie)) (VP (VBD gossiped) (PP (IN about) (NP (NP (DT the) (NNS daughters)) (PP (IN of) (NP (NP (DT the) (NN nurse)) (SBAR (WHNP (WP who)) (S (VP (VBD were) (PP (IN at) (NP (NN church))) (NP (JJ last) (NNP Sunday)) (PP (IN in) (NP (JJ grimy) (NNS shorts))))))))))) (. .))",63,AttachHigh,14,"Down at the pub, Ollie gossiped about the daughters of the nurse who were at church last Sunday in grimy shorts .",Where was Ollie?,A pub,A church,1,1,Non-ambig,,,,,1,
"(S (PP (IN Down) (PP (IN at) (NP (DT the) (NN pub)))) (, ,) (NP (NNP Ollie)) (VP (VBD gossiped) (PP (IN about) (NP (NP (DT the) (NN daughter)) (PP (IN of) (NP (NP (DT the) (NNS nurses)) (SBAR (WHNP (WP who)) (S (VP (VBD were) (PP (IN at) (NP (NN church))) (NP (JJ last) (NNP Sunday)) (PP (IN in) (NP (JJ grimy) (NNS shorts))))))))))) (. .))",63,AttachLow,14,"Down at the pub, Ollie gossiped about the daughter of the nurses who were at church last Sunday in grimy shorts .",Where was Ollie?,A pub,A church,1,1,Non-ambig,1,,,,,
(S (PP (IN From) (NP (DT the) (NN lounge))) (NP (NN everyone)) (VP (MD could) (VP (VB see) (NP (NP (DT the) (NNS pilots)) (PP (IN of) (NP (NP (DT the) (NNS millionaires)) (SBAR (WHNP (WP who)) (S (VP (VBD were) (VP (VBN distrusted) (PP (IN by) (NP (NP (NN everyone)) (PP (IN at) (NP (DT the) (NN company)))))))))))))) (. .)),64,AttachMulti,13,From the lounge everyone could see the pilots of the millionaires who were distrusted by everyone at the company .,Who could everyone see?,Pilots,Millionaires,1,1,Non-ambig,,1,,,,
(S (PP (IN From) (NP (DT the) (NN lounge))) (NP (NN everyone)) (VP (MD could) (VP (VB see) (NP (NP (DT the) (NNS pilots)) (PP (IN of) (NP (DT the) (NN millionaire))) (SBAR (WHNP (WP who)) (S (VP (VBD were) (VP (VBN distrusted) (PP (IN by) (NP (NP (NN everyone)) (PP (IN at) (NP (DT the) (NN company)))))))))))) (. .)),64,AttachHigh,13,From the lounge everyone could see the pilots of the millionaire who were distrusted by everyone at the company .,Who could everyone see?,Pilots,Millionaires,1,1,Non-ambig,,,,1,,
(S (PP (IN From) (NP (DT the) (NN lounge))) (NP (NN everyone)) (VP (MD could) (VP (VB see) (NP (NP (DT the) (NN pilot)) (PP (IN of) (NP (NP (DT the) (NNS millionaires)) (SBAR (WHNP (WP who)) (S (VP (VBD were) (VP (VBN distrusted) (PP (IN by) (NP (NP (NN everyone)) (PP (IN at) (NP (DT the) (NN company)))))))))))))) (. .)),64,AttachLow,13,From the lounge everyone could see the pilot of the millionaires who were distrusted by everyone at the company .,Who could everyone see?,Pilots,Millionaires,1,1,Non-ambig,,,,,,1
(S (PP (IN On) (NP (DT the) (NN news))) (NP (PRP they)) (VP (VBD showed) (NP (NP (DT the) (NNS accomplices)) (PP (IN of) (NP (NP (DT the) (NNS thieves)) (SBAR (WHNP (WP who)) (S (VP (VBD were) (VP (VBN indicted) (PP (IN for) (S (VP (VBG stealing) (NP (DT the) (NNP Mona) (NN Lisa))))))))))))) (. .)),65,AttachMulti,12,On the news they showed the accomplices of the thieves who were indicted for stealing the Mona Lisa .,Where did they show the accomplices?,A documentary,The news,0,0,Non-ambig,,,,,,1
