berkeley_neural_parser_result,item,condition,disambPosition,Sentence,ambiguous,Question,Option1,Option0,Answer,Ambiguity targeted?
"(S (SBAR (IN Although) (S (NP (DT the) (NN boy)) (VP (VBD attacked)))) (, ,) (NP (DT the) (NN chicken)) (VP (VBD stayed) (ADJP (RB surprisingly) (JJ happy)) (SBAR (IN as) (IN if) (S (NP (NN nothing)) (VP (VBD happened))))) (. .))",4,NPZ_UAMB,7,"Although the boy attacked, the chicken stayed surprisingly happy as if nothing happened.",0,Was the chicken disturbed by the boy 's attack?,Yes,No,0,
(S (NP (NP (DT The) (NN boy)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBN fed) (NP (DT the) (NN chicken))))))) (VP (VBD stayed) (ADJP (RB surprisingly) (JJ happy)) (PP (IN despite) (S (VP (VBG having) (NP (DT a) (JJ mild) (JJ allergic) (NN reaction)))))) (. .)),4,MVRR_UAMB,8,The boy who was fed the chicken stayed surprisingly happy despite having a mild allergic reaction.,0,Did the boy feed the chicken?,Yes,No,0,X
(S (NP (DT The) (JJ new) (NN doctor)) (VP (VBD demonstrated) (SBAR (IN that) (S (NP (DT the) (NN operation)) (VP (VBD appeared) (ADJP (RB increasingly) (JJ likely) (S (VP (TO to) (VP (VB succeed))))))))) (. .)),5,NPS_UAMB,8,The new doctor demonstrated that the operation appeared increasingly likely to succeed.,0,What did the doctor demonstrate?,The operation,The operation 's likelihood of success,0,X
"(S (SBAR (IN After) (S (NP (DT the) (JJ new) (NN doctor)) (VP (VBD left)))) (, ,) (NP (DT the) (NN operation)) (VP (VBD appeared) (ADJP (RB increasingly) (JJ likely) (S (VP (TO to) (VP (VB succeed)))))) (. .))",5,NPZ_UAMB,8,"After the new doctor left, the operation appeared increasingly likely to succeed.",0,Did the doctor appear likely to succeed?,Yes,No,0,
(S (NP (NP (DT The) (JJ new) (NN doctor)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBN offered) (NP (DT the) (NN operation))))))) (VP (VBD appeared) (ADJP (RB increasingly) (JJ likely) (S (VP (TO to) (VP (VB succeed) (PP (IN in) (NP (PRP$ her) (NN career)))))))) (. .)),5,MVRR_UAMB,9,The new doctor who was offered the operation appeared increasingly likely to succeed in her career.,0,Did the doctor offer the operation to someone?,Yes,No,0,X
(S (NP (DT The) (NN professor)) (VP (VBD noticed) (SBAR (IN that) (S (NP (DT the) (NN grant)) (VP (VBD gained) (NP (JJR more) (NN attention)) (PP (IN from) (NP (JJ marine) (NNS biologists))))))) (. .)),6,NPS_UAMB,7,The professor noticed that the grant gained more attention from marine biologists.,0,Who paid attention to the grant?,The professor,Marine biologists,0,X
"(S (SBAR (IN After) (S (NP (DT the) (NN professor)) (VP (VBD read)))) (, ,) (NP (DT the) (NN grant)) (VP (VBD gained) (NP (JJR more) (NN attention)) (PP (JJ due) (PP (TO to) (NP (PRP$ her) (JJ excellent) (NN description))))) (. .))",6,NPZ_UAMB,7,"After the professor read, the grant gained more attention due to her excellent description.",0,Who or what got a lot of attention?,The grant,The professor,1,X
(S (NP (NP (DT The) (NN professor)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBN awarded) (NP (DT the) (NN grant))))))) (VP (VBD gained) (NP (NP (JJR more) (NN attention)) (PP (IN from) (NP (JJ marine) (NNS biologists))))) (. .)),6,MVRR_UAMB,8,The professor who was awarded the grant gained more attention from marine biologists.,0,Did the professor award the grant to someone?,Yes,No,0,X
(S (NP (DT The) (NN technician)) (VP (VBD reported) (SBAR (IN that) (S (NP (DT the) (NN service)) (VP (VBD stopped) (S (VP (VBG working))) (ADVP (RB almost) (RB immediately)) (SBAR (IN after) (S (NP (DT the) (NN storm)) (VP (VBD started)))))))) (. .)),7,NPS_UAMB,7,The technician reported that the service stopped working almost immediately after the storm started.,0,When did the service stop working?,After the storm,Before the storm,1,X
"(S (SBAR (IN After) (S (NP (DT the) (NN technician)) (VP (VBD called)))) (, ,) (NP (DT the) (NN service)) (VP (VBD stopped) (S (VP (VBG working))) (ADVP (RB almost) (RB immediately)) (PP (TO to) (NP (PRP$ his) (NN surprise)))) (. .))",7,NPZ_UAMB,7,"After the technician called, the service stopped working almost immediately to his surprise.",0,Did the technician stop working?,Yes,No,0,
(S (NP (NP (DT The) (NN technician)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBN refused) (NP (DT the) (NN service))))))) (VP (VBD stopped) (S (VP (VBG working))) (ADVP (RB almost) (RB immediately)) (PP (IN after) (NP (DT the) (NN argument)))) (. .)),7,MVRR_UAMB,8,The technician who was refused the service stopped working almost immediately after the argument.,0,Did the technician refuse the service?,Yes,No,0,X
(S (NP (DT The) (NN mechanic)) (VP (VBD observed) (SBAR (IN that) (S (NP (DT the) (NN truck)) (VP (VBD needed) (NP (ADJP (JJ several) (JJR more)) (NNS hours)) (S (VP (TO to) (VP (VB be) (VP (VBN repaired))))))))) (. .)),8,NPS_UAMB,7,The mechanic observed that the truck needed several more hours to be repaired.,0,Had the truck broken down?,Yes,No,1,
"(S (SBAR (IN Because) (S (NP (DT the) (NN mechanic)) (VP (VBD stopped)))) (, ,) (NP (DT the) (NN truck)) (VP (VBD needed) (NP (QP (JJ several) (JJR more)) (NNS hours)) (SBAR (IN before) (S (NP (PRP it)) (VP (MD could) (VP (VB be) (VP (ADVP (RB fully)) (VBN repaired))))))) (. .))",8,NPZ_UAMB,7,"Because the mechanic stopped, the truck needed several more hours before it could be fully repaired.",0,Did the mechanic stop the truck?,Yes,No,0,X
(S (NP (NP (DT The) (NN mechanic)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBN brought) (NP (DT the) (NN truck))))))) (VP (VBD needed) (NP (JJ several) (JJR more) (NNS hours)) (S (VP (TO to) (VP (ADVP (RB fully)) (VB repair) (NP (PRP it)))))) (. .)),8,MVRR_UAMB,8,The mechanic who was brought the truck needed several more hours to fully repair it.,0,Did the mechanic bring the truck?,Yes,No,0,X
(S (NP (DT The) (NN guitarist)) (VP (VBD knew) (SBAR (IN that) (S (NP (DT the) (NN song)) (VP (VBD failed) (ADVP (RB dramatically)) (PP (IN because) (IN of) (NP (NP (DT the) (NNS tensions)) (PP (IN within) (NP (DT the) (NN band))))))))) (. .)),9,NPS_UAMB,7,The guitarist knew that the song failed dramatically because of the tensions within the band.,0,Did the band members have some interpersonal conflict?,Yes,No,1,
"(S (SBAR (IN After) (S (NP (DT the) (NN guitarist)) (VP (VBD began)))) (, ,) (NP (DT the) (NN song)) (VP (VBD failed) (ADVP (RB dramatically)) (SBAR (IN because) (S (NP (PRP he)) (VP (VBD skipped) (NP (DT the) (NN sound) (NN check)))))) (. .))",9,NPZ_UAMB,7,"After the guitarist began, the song failed dramatically because he skipped the sound check.",0,Did the guitarist complete the sound check?,Yes,No,0,
(S (NP (NP (DT The) (NN guitarist)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBN assigned) (NP (DT the) (NN song))))))) (VP (VBD failed) (ADVP (RB dramatically)) (SBAR (IN because) (S (NP (PRP he)) (ADVP (RB never)) (VP (VBD practiced) (NP (RB enough)))))) (. .)),9,MVRR_UAMB,8,The guitarist who was assigned the song failed dramatically because he never practiced enough.,0,Did the guitarist assign the song to someone?,Yes,No,0,X
(S (NP (DT The) (NN player)) (VP (VBD revealed) (SBAR (IN that) (S (NP (DT the) (NN bonus)) (VP (VBD remained) (ADJP (NP (RB essentially) (DT the) (JJ same)) (PP (IN as) (PP (IN in) (NP (DT the) (JJ original) (NN contract))))))))) (. .)),10,NPS_UAMB,7,The player revealed that the bonus remained essentially the same as in the original contract.,0,Was the contract violated?,Yes,No,0,
"(S (SBAR (IN Although) (S (NP (DT the) (NN player)) (VP (VBD lost)))) (, ,) (NP (DT the) (NN bonus)) (VP (VBD remained) (ADJP (RB essentially) (DT the) (JJ same) (PP (IN as) (PP (IN in) (NP (DT the) (JJ original) (NN contract)))))) (. .))",10,NPZ_UAMB,7,"Although the player lost, the bonus remained essentially the same as in the original contract.",0,Did the player lose the bonus?,Yes,No,0,X
(S (NP (NP (DT The) (NN player)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBN paid) (NP (DT the) (NN bonus))))))) (VP (VBD remained) (ADJP (RB essentially) (DT the) (JJ same)) (PP (IN despite) (NP (PRP$ his) (JJ sudden) (NN fame) (CC and) (NN wealth)))) (. .)),10,MVRR_UAMB,8,The player who was paid the bonus remained essentially the same despite his sudden fame and wealth.,0,Did the player pay the bonus to someone?,Yes,No,0,X
(S (NP (DT The) (JJ recent) (NN hire)) (VP (VBD claimed) (SBAR (IN that) (S (NP (DT the) (NN job)) (VP (VBD prepared) (NP (JJ many) (NNS students)) (PP (IN for) (NP (NP (NNS careers)) (PP (IN in) (NP (NNS media))))))))) (. .)),11,NPS_UAMB,8,The recent hire claimed that the job prepared many students for careers in media.,0,Did the hire believe the job helped students?,Yes,No,1,
"(S (SBAR (RB Once) (S (NP (DT the) (JJ recent) (NN hire)) (VP (VBD started)))) (, ,) (NP (DT the) (NN job)) (VP (VBD prepared) (NP (JJ many) (NNS students)) (PP (IN for) (NP (NP (NNS careers)) (PP (IN in) (NP (NNS media)))))) (. .))",11,NPZ_UAMB,8,"Once the recent hire started, the job prepared many students for careers in media.",0,Did the job help any students?,Yes,No,1,
(S (NP (NP (DT The) (JJ recent) (NN hire)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBN offered) (NP (DT the) (NN job))))))) (VP (VBD prepared) (NP (JJ many) (NNS students)) (PP (IN for) (NP (NP (NNS careers)) (PP (IN in) (NP (NNS media)))))) (. .)),11,MVRR_UAMB,9,The recent hire who was offered the job prepared many students for careers in media.,0,Did the new hire offer the job to someone?,Yes,No,0,X
(S (NP (DT The) (JJ assistant) (NN manager)) (VP (VBD discovered) (SBAR (IN that) (S (NP (DT the) (NN training)) (VP (VBD seemed) (ADJP (RB unnecessarily) (JJ demanding) (PP (IN for) (NP (JJ new) (NN staff)))))))) (. .)),12,NPS_UAMB,8,The assistant manager discovered that the training seemed unnecessarily demanding for new staff.,0,Was the training difficult?,Yes,No,1,
"(S (SBAR (IN While) (S (NP (DT the) (JJ assistant) (NN manager)) (VP (VBD worked)))) (, ,) (NP (DT the) (NN training)) (VP (VBD seemed) (ADJP (RB unnecessarily) (VBG demanding) (PP (TO to) (NP (PRP him))))) (. .))",12,NPZ_UAMB,8,"While the assistant manager worked, the training seemed unnecessarily demanding to him.",0,Was the training difficult?,Yes,No,1,
(S (NP (NP (DT The) (JJ assistant) (NN manager)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBN assigned) (NP (DT the) (NN training))))))) (VP (VBD seemed) (RB unnecessarily) (VBG demanding) (PP (TO to) (NP (JJ new) (NN staff)))) (. .)),12,MVRR_UAMB,9,The assistant manager who was assigned the training seemed unnecessarily demanding to new staff.,0,Was the assistant manager being harsh?,Yes,No,1,
(S (NP (DT The) (NN mayor)) (VP (VBD showed) (SBAR (IN that) (S (NP (DT the) (NN document)) (VP (VBD provided) (NP (NP (JJ sufficient) (NN evidence)) (SBAR (S (VP (TO to) (VP (VB prove) (NP (PRP$ her) (NN innocence))))))))))) (. .)),13,NPS_UAMB,7,The mayor showed that the document provided sufficient evidence to prove her innocence.,0,Was there enough proof?,Yes,No,1,
"(S (SBAR (IN Although) (S (NP (DT the) (NN mayor)) (VP (VBD changed)))) (, ,) (NP (DT the) (NN document)) (VP (VBD provided) (NP (NP (JJ sufficient) (NN evidence)) (PP (IN for) (SBAR (WHNP (WP what)) (S (NP (PRP he)) (VP (VBD had) (VP (VBN promised)))))))) (. .))",13,NPZ_UAMB,7,"Although the mayor changed, the document provided sufficient evidence for what he had promised.",0,Did the mayor change the document?,Yes,No,0,X
(S (NP (NP (DT The) (NN mayor)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBN sent) (NP (DT the) (NN document))))))) (VP (VBD provided) (NP (JJ sufficient) (NN evidence) (SBAR (IN that) (S (NP (PRP it)) (VP (VBD was) (ADVP (RB simply)) (NP (NN blackmail))))))) (. .)),13,MVRR_UAMB,8,The mayor who was sent the document provided sufficient evidence that it was simply blackmail.,0,Did the mayor send the document to someone?,Yes,No,0,X
(S (NP (DT The) (NN basketball) (NN player)) (VP (VBD mentioned) (SBAR (IN that) (S (NP (DT the) (NN contract)) (VP (VBD created) (NP (DT another) (NN controversy)) (PP (IN in) (NP (DT the) (NNP NBA))))))) (. .)),14,NPS_UAMB,8,The basketball player mentioned that the contract created another controversy in the NBA.,0,Were there already controversies in the NBA?,Yes,No,1,
"(S (SBAR (IN After) (S (NP (DT the) (NN basketball) (NN player)) (VP (VBN signed)))) (, ,) (NP (DT the) (NN contract)) (VP (VBD created) (NP (NP (DT another) (JJ political) (NN controversy)) (PP (IN in) (NP (DT the) (NNP NBA))))) (. .))",14,NPZ_UAMB,8,"After the basketball player signed, the contract created another political controversy in the NBA.",0,Were there already controversies in the NBA?,Yes,No,1,
(S (NP (NP (DT The) (NN basketball) (NN player)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBN handed) (NP (DT the) (NN contract))))))) (VP (VBD created) (NP (DT another) (NN controversy)) (PP (IN in) (NP (DT the) (NNP NBA)))) (. .)),14,MVRR_UAMB,9,The basketball player who was handed the contract created another controversy in the NBA.,0,Did the player hand the contract to someone?,Yes,No,0,X
(S (NP (DT The) (NN engineer)) (VP (VBD maintained) (SBAR (IN that) (S (NP (DT the) (NN equipment)) (VP (VBD required) (NP (NP (JJ constant) (NN supervision)) (PP (IN from) (NP (JJ senior) (NNS technicians)))))))) (. .)),15,NPS_UAMB,7,The engineer maintained that the equipment required constant supervision from senior technicians.,0,Did the engineer maintain the equipment?,Yes,No,0,X
"(S (SBAR (IN After) (S (NP (DT the) (NN engineer)) (VP (VBD moved)))) (, ,) (NP (DT the) (NN equipment)) (VP (VBD required) (NP (NP (JJ constant) (NN supervision)) (PP (IN from) (NP (JJ senior) (NNS technicians))))) (. .))",15,NPZ_UAMB,7,"After the engineer moved, the equipment required constant supervision from senior technicians.",0,Did the engineer move the equipment?,Yes,No,0,X
(S (NP (NP (DT The) (NN engineer)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBN brought) (NP (DT the) (NN equipment))))))) (VP (VBD required) (NP (NP (JJ constant) (NN supervision)) (PP (IN from) (NP (JJ senior) (NNS technicians))))) (. .)),15,MVRR_UAMB,8,The engineer who was brought the equipment required constant supervision from senior technicians.,0,Did the engineer bring the equipment to someone?,Yes,No,0,X
(S (NP (DT The) (JJ little) (NN girl)) (VP (VBD found) (SBAR (IN that) (S (NP (DT the) (NN lamb)) (VP (VBD remained) (ADJP (RB relatively) (JJ calm)) (PP (IN despite) (NP (NP (DT the) (NN absence)) (PP (IN of) (NP (PRP$ its) (NN mother))))))))) (. .)),16,NPS_UAMB,8,The little girl found that the lamb remained relatively calm despite the absence of its mother.,0,Was the lamb\'s mother missing?,Yes,No,1,
"(S (SBAR (WHADVP (WRB When)) (S (NP (DT the) (JJ little) (NN girl)) (VP (VBD attacked)))) (, ,) (NP (DT the) (NN lamb)) (VP (VBD remained) (ADJP (RB relatively) (JJ calm)) (PP (IN despite) (NP (DT the) (JJ sudden) (NN assault)))) (. .))",16,NPZ_UAMB,8,"When the little girl attacked, the lamb remained relatively calm despite the sudden assault.",0,Was the little girl kind to the lamb?,Yes,No,0,
(S (NP (NP (DT The) (JJ little) (NN girl)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBN fed) (NP (DT the) (NN lamb))))))) (VP (VBD remained) (ADJP (RB relatively) (JJ calm)) (PP (IN despite) (S (VP (VBG having) (VP (VBN asked) (PP (IN for) (NP (NN beef)))))))) (. .)),16,MVRR_UAMB,9,The little girl who was fed the lamb remained relatively calm despite having asked for beef.,0,Did the girl feed the lamb?,Yes,No,0,X
(S (NP (DT The) (NN yoga) (NN instructor)) (VP (VBD demonstrated) (SBAR (IN that) (S (NP (DT the) (NN position)) (VP (VBD demanded) (NP (JJ immense) (JJ physical) (NN effort)) (PP (IN from) (NP (NN everyone))))))) (. .)),17,NPS_UAMB,8,The yoga instructor demonstrated that the position demanded immense physical effort from everyone.,0,Was the yoga position challenging?,Yes,No,1,
"(S (SBAR (IN Before) (S (NP (DT the) (NN yoga) (NN instructor)) (VP (VBD left)))) (, ,) (NP (DT the) (NN position)) (VP (VBD demanded) (NP (JJ immense) (JJ physical) (NN effort)) (PP (IN from) (NP (NN everyone)))) (. .))",17,NPZ_UAMB,8,"Before the yoga instructor left, the position demanded immense physical effort from everyone.",0,Was the position hard?,Yes,No,1,
(S (NP (NP (DT The) (NN yoga) (NN instructor)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBN offered) (NP (DT the) (NN position))))))) (VP (VBD demanded) (NP (JJ immense) (JJ physical) (NN effort)) (PP (IN from) (NP (NN everyone)))) (. .)),17,MVRR_UAMB,9,The yoga instructor who was offered the position demanded immense physical effort from everyone.,0,Did the instructor offer the position to someone?,Yes,No,0,X
(S (NP (DT The) (NN governor)) (VP (VBD noticed) (SBAR (IN that) (S (NP (DT the) (NN contract)) (VP (VBD received) (NP (JJ sweeping) (NN support)) (PP (IN across) (NP (DT the) (JJ entire) (NN state))))))) (. .)),18,NPS_UAMB,7,The governor noticed that the contract received sweeping support across the entire state.,0,How much support did the contract receive?,Extensive,Limited,1,
"(S (SBAR (IN While) (S (NP (DT the) (NN governor)) (VP (VBD read)))) (, ,) (NP (DT the) (NN contract)) (VP (VBD received) (NP (JJ sweeping) (NN support)) (PP (IN from) (NP (NP (DT the) (NN audience)) (PP (IN at) (NP (DT the) (NN rally)))))) (. .))",18,NPZ_UAMB,7,"While the governor read, the contract received sweeping support from the audience at the rally.",0,How much support did the contract receive?,Limited,Extensive,0,
(S (NP (NP (DT The) (NN governor)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBN awarded) (NP (DT the) (NN contract))))))) (VP (VBD received) (NP (JJ sweeping) (NN support)) (PP (IN across) (NP (DT the) (JJ entire) (NN state)))) (. .)),18,MVRR_UAMB,8,The governor who was awarded the contract received sweeping support across the entire state.,0,Did the governor award the contract to someone?,Yes,No,0,X
(S (NP (DT The) (NN patient)) (VP (VBD reported) (SBAR (IN that) (S (NP (DT the) (NN treatment)) (VP (VBD continued) (S (VP (VBG causing) (NP (NP (JJ uncomfortable) (NN side) (NNS effects)) (PP (IN like) (NP (NN nausea)))))))))) (. .)),19,NPS_UAMB,7,The patient reported that the treatment continued causing uncomfortable side effects like nausea.,0,Did the patient\'s nausea last for a while?,Yes,No,1,
"(S (SBAR (IN Before) (S (NP (DT the) (NN patient)) (VP (VBD called)))) (, ,) (NP (DT the) (NN treatment)) (VP (VBD continued) (S (VP (VBG causing) (NP (NP (JJ uncomfortable) (NN side) (NNS effects)) (PP (IN like) (NP (NN nausea))))))) (. .))",19,NPZ_UAMB,7,"Before the patient called, the treatment continued causing uncomfortable side effects like nausea.",0,Did the patient\'s nausea last for a while?,Yes,No,1,
(S (NP (NP (DT The) (NN patient)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBN refused) (NP (DT the) (NN treatment))))))) (VP (VBD continued) (S (VP (VBG causing) (NP (JJ uncomfortable) (NNS scenes)) (PP (IN in) (NP (DT the) (NN ER)))))) (. .)),19,MVRR_UAMB,8,The patient who was refused the treatment continued causing uncomfortable scenes in the ER.,0,Did the patient refuse the treatment?,Yes,No,0,X
(S (NP (DT The) (NN operator)) (VP (VBD observed) (SBAR (IN that) (S (NP (DT the) (NN machine)) (VP (VBD started) (S (VP (VBG working) (ADVP (RB efficiently)) (NP (NP (DT all)) (PP (IN of) (NP (DT a) (JJ sudden)))))))))) (. .)),20,NPS_UAMB,7,The operator observed that the machine started working efficiently all of a sudden.,0,Did the machine turn out to be functional?,Yes,No,1,
"(S (SBAR (RB Once) (S (NP (DT the) (NN operator)) (VP (VBD stopped)))) (, ,) (NP (DT the) (NN machine)) (VP (VBD started) (S (VP (VBG working) (ADVP (RB efficiently)) (PP (IN without) (NP (DT any) (NN supervision)))))) (. .))",20,NPZ_UAMB,7,"Once the operator stopped, the machine started working efficiently without any supervision.",0,Did the operator stop the machine?,Yes,No,0,X
(S (NP (NP (DT The) (NN operator)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBN brought) (S (NP (DT the) (NN machine)))))))) (VP (VBD started) (S (VP (VBG working) (ADVP (RB efficiently)) (PP (IN with) (NP (DT the) (VBN added) (NN automation)))))) (. .)),20,MVRR_UAMB,8,The operator who was brought the machine started working efficiently with the added automation.,0,Was the machine helpful?,Yes,No,1,
(S (NP (DT The) (NN dancer)) (VP (VBD knew) (SBAR (IN that) (S (NP (DT the) (NN ballet)) (VP (VBD achieved) (NP (JJ incredible) (NN success)) (PP (IN for) (NP (DT a) (JJ small) (JJ local) (NN production))))))) (. .)),21,NPS_UAMB,7,The dancer knew that the ballet achieved incredible success for a small local production.,0,What production achieved incredible success?,A ballet,A musical,1,
"(S (SBAR (RB Once) (S (NP (DT the) (NN dancer)) (VP (VBD began)))) (, ,) (NP (DT the) (NN ballet)) (VP (VBD achieved) (NP (NP (JJ incredible) (NN success)) (PP (IN for) (NP (NP (DT a) (NN show)) (PP (IN with) (NP (DT a) (JJ new) (NN performer))))))) (. .))",21,NPZ_UAMB,7,"Once the dancer began, the ballet achieved incredible success for a show with a new performer.",0,What show achieved incredible success?,A musical,A ballet,0,
(S (NP (NP (DT The) (NN dancer)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBN assigned) (NP (DT the) (NN ballet))))))) (VP (VBD achieved) (NP (NP (JJ incredible) (NN success)) (PP (IN for) (NP (DT a) (JJ new) (NN performer))))) (. .)),21,MVRR_UAMB,8,The dancer who was assigned the ballet achieved incredible success for a new performer.,0,Did the dancer assign the ballet to someone?,Yes,No,0,X
(S (NP (DT The) (NN contestant)) (VP (VBD revealed) (SBAR (IN that) (S (NP (DT the) (NN money)) (VP (VBD became) (ADJP (JJ unavailable) (PP (TO to) (NP (PRP him)))) (SBAR (WHADVP (WRB when)) (S (NP (NP (DT the) (: show\) (POS 's)) (NN budget)) (VP (VBD shrank)))))))) (. .)),22,NPS_UAMB,7,The contestant revealed that the money became unavailable to him when the show 's budget shrank.,0,What did the contestant reveal?,The money,The unavailability of the money,0,X
"(S (SBAR (IN After) (S (NP (DT the) (NN contestant)) (VP (VBD lost)))) (, ,) (NP (DT the) (NN money)) (VP (VBD became) (ADJP (JJ unavailable)) (PP (IN despite) (NP (NP (PRP$ his) (JJ previous) (CD three) (NNS wins)) (PP (IN in) (NP (DT a) (NN row)))))) (. .))",22,NPZ_UAMB,7,"After the contestant lost, the money became unavailable despite his previous three wins in a row.",0,How many times did the contestant win?,Three,Zero,1,
(S (NP (NP (DT The) (NN contestant)) (SBAR (WHNP (WP who)) (S (VP (VBD was) (VP (VBN paid) (NP (DT the) (NN money))))))) (VP (VP (VBD became) (ADJP (JJ unavailable))) (CC and) (VP (ADVP (RB suddenly)) (VBD terminated) (NP (PRP$ his) (NN contract)))) (. .)),22,MVRR_UAMB,8,The contestant who was paid the money became unavailable and suddenly terminated his contract.,0,Did the contestant pay the money to someone?,Yes,No,0,X
(S (NP (DT The) (JJ new) (NN chef)) (VP (VBD claimed) (SBAR (IN that) (S (NP (DT the) (NN restaurant)) (VP (VBD separated) (NP (JJ mediocre) (NNS cooks)) (PP (IN from) (NP (JJ gifted) (NNS ones))))))) (. .)),23,NPS_UAMB,8,The new chef claimed that the restaurant separated mediocre cooks from gifted ones.,0,Did the chef join the restaurant recently?,Yes,No,1,
