berkeley_neural_parser_result,item,condition,targetPosition,Sentence,,Option1,Option0,Ans,,,,,,,
(S (NP (NP (DT The) (NN farmer)) (SBAR (WHNP (WP who)) (S (VP (VBD hired) (NP (DT the) (NN rancher)))))) (VP (VBD piled) (NP (DT the) (NNS seeds)) (PP (IN in) (NP (JJ long) (NNS rows)))) (. .)),32,RC_Subj,4,The farmer who hired the rancher piled the seeds in long rows.,Who was hired?,The rancher,The farmer,1,RC-Gap,,,,,1,
(S (NP (NP (DT The) (NN farmer)) (SBAR (WHNP (WP who)) (S (NP (DT the) (NN rancher)) (VP (VBD hired))))) (VP (VBD piled) (NP (DT the) (NNS seeds)) (PP (IN in) (NP (JJ long) (NNS rows)))) (. .)),32,RC_Obj,6,The farmer who the rancher hired piled the seeds in long rows.,Who was hired?,The rancher,The farmer,0,RC-Gap,,1,,,,
(S (NP (NP (DT The) (NNS firemen)) (SBAR (WHNP (WDT that)) (S (VP (VBD called) (NP (DT the) (NNS residents)))))) (VP (VBD attacked) (NP (DT the) (NN house)) (PP (IN with) (NP (JJ high) (: -) (JJ powered) (NNS hoses)))) (. .)),33,RC_Subj,4,The firemen that called the residents attacked the house with high-powered hoses.,Who got a call?,The residents,The firemen,1,RC-Gap,,,1,,,
(S (NP (NP (DT The) (NNS firemen)) (SBAR (WHNP (IN that)) (S (NP (DT the) (NNS residents)) (VP (VBD called))))) (VP (VBD attacked) (NP (DT the) (NN house)) (PP (IN with) (NP (JJ high) (JJ -) (JJ powered) (NNS hoses)))) (. .)),33,RC_Obj,6,The firemen that the residents called attacked the house with high-powered hoses.,Who got a call?,The residents,The firemen,0,RC-Gap,,,,,,1
(S (NP (NP (DT The) (NN girl)) (SBAR (WHNP (WP who)) (S (VP (VBD watched) (NP (DT the) (NNS parents)))))) (VP (VBD changed) (NP (NP (DT a) (JJ critical) (NN part)) (PP (IN of) (NP (DT the) (NN story))))) (. .)),34,RC_Subj,4,The girl who watched the parents changed a critical part of the story.,Who was being watched?,The parents,The girl,1,RC-Gap,,,1,,,
(S (NP (NP (DT The) (NN girl)) (SBAR (WHNP (WP who)) (S (NP (DT the) (NNS parents)) (VP (VBD watched))))) (VP (VBD changed) (NP (NP (DT a) (JJ critical) (NN part)) (PP (IN of) (NP (DT the) (NN story))))) (. .)),34,RC_Obj,6,The girl who the parents watched changed a critical part of the story.,Who was being watched?,The parents,The girl,0,RC-Gap,,,,,,1
(S (NP (NP (DT The) (NN investigator)) (SBAR (WHNP (WP who)) (S (VP (VBD phoned) (NP (DT the) (NN agency)))))) (VP (VBD considered) (NP (NNP Ms.) (NNP Reynolds)) (PP (IN from) (NP (NN accounting)))) (. .)),35,RC_Subj,4,The investigator who phoned the agency considered Ms. Reynolds from accounting.,Who got a phone call?,The agency,The investigator,1,RC-Gap,,,,,,1
(S (NP (NP (DT The) (NN investigator)) (SBAR (WHNP (WP who)) (S (NP (DT the) (NN agency)) (VP (VBD phoned))))) (VP (VBD considered) (NP (NNP Ms.) (NNP Reynolds)) (PP (IN from) (NP (NN accounting)))) (. .)),35,RC_Obj,6,The investigator who the agency phoned considered Ms. Reynolds from accounting.,Who got a phone call?,The agency,The investigator,0,RC-Gap,,,1,,,
(S (NP (NP (DT The) (NN judge)) (SBAR (WHNP (WP who)) (S (VP (VBD addressed) (NP (DT the) (NNS witnesses)))))) (VP (VBD noticed) (NP (DT the) (NN defense) (NNS attorneys))) (. .)),36,RC_Subj,4,The judge who addressed the witnesses noticed the defense attorneys.,Who was being addressed?,The witnesses,The judge,1,RC-Gap,,,,,,1
(S (NP (NP (DT The) (NN judge)) (SBAR (WHNP (WP who)) (S (NP (DT the) (NNS witnesses)) (VP (VBD addressed))))) (VP (VBD noticed) (NP (DT the) (NN defense) (NNS attorneys))) (. .)),36,RC_Obj,6,The judge who the witnesses addressed noticed the defense attorneys.,Who was being addressed?,The witnesses,The judge,0,RC-Gap,,,1,,,
(S (NP (NP (DT The) (NN manager)) (SBAR (WHNP (WP who)) (S (VP (VBD visited) (NP (DT the) (NN boss)))))) (VP (VBD remembered) (NP (DT some) (JJ inconvenient) (NNS facts))) (. .)),37,RC_Subj,4,The manager who visited the boss remembered some inconvenient facts.,Who remembered the facts?,The boss,The manager,0,Matrix subject,1,,,,,
(S (NP (NP (DT The) (NN manager)) (SBAR (WHNP (WP who)) (S (NP (DT the) (NN boss)) (VP (VBD visited))))) (VP (VBD remembered) (NP (DT some) (JJ inconvenient) (NNS facts))) (. .)),37,RC_Obj,6,The manager who the boss visited remembered some inconvenient facts.,Who remembered the facts?,The boss,The manager,0,Matrix subject,,,,1,,
(S (NP (NP (DT The) (NN mathematician)) (SBAR (WHNP (WP who)) (S (VP (VBD visited) (NP (DT the) (NN chairman)))))) (VP (VBD created) (NP (NP (DT a) (NN solution)) (PP (TO to) (NP (DT the) (JJ wellknown) (NN problem))))) (. .)),38,RC_Subj,4,The mathematician who visited the chairman created a solution to the wellknown problem.,Who created the solution?,The mathematician,The chairman,1,Matrix subject,1,,,,,
(S (NP (NP (DT The) (NN mathematician)) (SBAR (WHNP (WP who)) (S (NP (DT the) (NN chairman)) (VP (VBD visited))))) (VP (VBD created) (NP (NP (DT a) (NN solution)) (PP (TO to) (NP (DT the) (JJ wellknown) (NN problem))))) (. .)),38,RC_Obj,6,The mathematician who the chairman visited created a solution to the wellknown problem.,Who created the solution?,The mathematician,The chairman,1,Matrix subject,,,,1,,
(S (NP (NP (DT The) (NNS monkeys)) (SBAR (WHNP (WDT that)) (S (VP (VBD watched) (NP (DT the) (NNS zookeepers)))))) (VP (VBD charged) (NP (NP (DT the) (NNS bars)) (PP (IN of) (NP (PRP$ their) (NN cage))))) (. .)),39,RC_Subj,4,The monkeys that watched the zookeepers charged the bars of their cage.,Who charged the bars of the cage?,The zookeepers,The monkeys,0,Matrix subject,,,,1,,
(S (NP (NP (DT The) (NNS monkeys)) (SBAR (WHNP (IN that)) (S (NP (DT the) (NNS zookeepers)) (VP (VBD watched))))) (VP (VBD charged) (NP (NP (DT the) (NNS bars)) (PP (IN of) (NP (PRP$ their) (NN cage))))) (. .)),39,RC_Obj,6,The monkeys that the zookeepers watched charged the bars of their cage.,Who charged the bars of the cage?,The zookeepers,The monkeys,0,Matrix subject,1,,,,,
(S (NP (NP (DT The) (NN movie) (NN star)) (SBAR (WHNP (WP who)) (S (VP (VBD visited) (NP (DT the) (NNS organizers)))))) (VP (VBD proposed) (NP (DT an) (JJ annual) (NN prize))) (. .)),40,RC_Subj,5,The movie star who visited the organizers proposed an annual prize.,Who proposed a prize?,The movie star,The organizers,1,Matrix subject,,,,1,,
(S (NP (NP (DT The) (NN movie) (NN star)) (SBAR (WHNP (WP who)) (S (NP (DT the) (NNS organizers)) (VP (VBD visited))))) (VP (VBD proposed) (NP (DT an) (JJ annual) (NN prize))) (. .)),40,RC_Obj,7,The movie star who the organizers visited proposed an annual prize.,Who proposed a prize?,The movie star,The organizers,1,Matrix subject,1,,,,,
(S (NP (NP (DT The) (NN neighbor)) (SBAR (WHNP (WP who)) (S (VP (VBD observed) (NP (DT the) (NN couple)))))) (VP (VBD purchased) (NP (DT the) (JJ old) (JJ Victorian) (NN house))) (. .)),41,RC_Subj,4,The neighbor who observed the couple purchased the old Victorian house.,Who purchased the house?,The couple,The neighbor,0,Matrix subject,,1,,,,
(S (NP (NP (DT The) (NN neighbor)) (SBAR (WHNP (WP who)) (S (NP (DT the) (NN couple)) (VP (VBD observed))))) (VP (VBD purchased) (NP (DT the) (JJ old) (JJ Victorian) (NN house))) (. .)),41,RC_Obj,6,The neighbor who the couple observed purchased the old Victorian house.,Who purchased the house?,The couple,The neighbor,0,Matrix subject,,,,,1,
(S (NP (NP (DT The) (NN pilot)) (SBAR (WHNP (WP who)) (S (VP (VBD delayed) (NP (DT the) (NN ground) (NN crew)))))) (VP (VBD remained) (PP (IN on) (NP (DT the) (NN runway))) (PP (IN for) (NP (DT a) (JJ long) (NN time)))) (. .)),42,RC_Subj,4,The pilot who delayed the ground crew remained on the runway for a long time.,Who was on the runway?,The pilot,The ground crew,1,Matrix subject,,1,,,,
(S (NP (NP (DT The) (NN pilot)) (SBAR (WHNP (WP who)) (S (NP (DT the) (NN ground) (NN crew)) (VP (VBN delayed))))) (VP (VBD remained) (PP (IN on) (NP (DT the) (NN runway))) (PP (IN for) (NP (DT a) (JJ long) (NN time)))) (. .)),42,RC_Obj,6,The pilot who the ground crew delayed remained on the runway for a long time.,Who was on the runway?,The pilot,The ground crew,1,Matrix subject,,,,,1,
(S (NP (NP (DT The) (NNS soldiers)) (SBAR (WHNP (WDT that)) (S (VP (VBD helped) (NP (DT the) (NNS natives)))))) (VP (VBD climbed) (NP (NP (DT the) (JJ big) (NN rock)) (SBAR (WHNP (WDT that)) (S (VP (VBD blocked) (NP (DT the) (NN path))))))) (. .)),43,RC_Subj,4,The soldiers that helped the natives climbed the big rock that blocked the path.,Who climbed the rock?,The natives,The soldiers,0,Matrix subject,,,,,1,
(S (NP (NP (DT The) (NNS soldiers)) (SBAR (WHNP (IN that)) (S (NP (DT the) (NNS natives)) (VP (VBD helped))))) (VP (VBD climbed) (NP (NP (DT the) (JJ big) (NN rock)) (SBAR (WHNP (WDT that)) (S (VP (VBD blocked) (NP (DT the) (NN path))))))) (. .)),43,RC_Obj,6,The soldiers that the natives helped climbed the big rock that blocked the path.,Who climbed the rock?,The natives,The soldiers,0,Matrix subject,,1,,,,
(S (NP (NP (DT The) (NN speaker)) (SBAR (WHNP (WP who)) (S (VP (VBD entertained) (NP (DT the) (NNS economists)))))) (VP (VBD predicted) (NP (NP (DT a) (JJ good) (NN year)) (PP (IN for) (NP (DT the) (NN industry))))) (. .)),44,RC_Subj,4,The speaker who entertained the economists predicted a good year for the industry.,Who predicted a good year?,The speaker,The economists,1,Matrix subject,,,,,1,
(S (NP (NP (DT The) (NN speaker)) (SBAR (WHNP (WP who)) (S (NP (DT the) (NNS economists)) (VP (VBD entertained))))) (VP (VBD predicted) (NP (NP (DT a) (JJ good) (NN year)) (PP (IN for) (NP (DT the) (NN industry))))) (. .)),44,RC_Obj,6,The speaker who the economists entertained predicted a good year for the industry.,Who predicted a good year?,The speaker,The economists,1,Matrix subject,,1,,,,
(S (NP (NP (DT The) (NN table) (NN top)) (SBAR (WHNP (WDT that)) (S (VP (VBD rested) (PP (IN on) (NP (DT the) (NN box))))))) (VP (VBN screwed) (PP (ADVP (RB directly)) (TO to) (NP (DT the) (NNS legs)))) (. .)),45,RC_Subj,5,The table top that rested on the box screwed directly to the legs.,What attached to the legs?,The box,The table top,0,Matrix subject,,,1,,,
(S (NP (NP (DT The) (NN table) (NN top)) (SBAR (WHNP (IN that)) (S (NP (DT the) (NN box)) (VP (VBD rested) (PP (RP on)))))) (VP (VBN screwed) (PP (ADVP (RB directly)) (TO to) (NP (DT the) (NNS legs)))) (. .)),45,RC_Obj,7,The table top that the box rested on screwed directly to the legs.,What attached to the legs?,The box,The table top,0,Matrix subject,,,,,,1
(S (NP (NP (DT The) (NN trainer)) (SBAR (WHNP (WP who)) (S (VP (VBD called) (NP (DT the) (NN jockey)))))) (VP (VBD rubbed) (NP (NP (DT the) (FW horse\) (POS 's)) (NN skin))) (. .)),46,RC_Subj,4,The trainer who called the jockey rubbed the horse 's skin.,Who pet the horse?,The trainer,The jockey,1,Matrix subject,,,1,,,
(S (NP (NP (DT The) (NN trainer)) (SBAR (WHNP (WP who)) (S (NP (DT the) (NN jockey)) (VP (VBD called))))) (VP (VBD rubbed) (NP (NP (DT the) (FW horse\) (POS 's)) (NN skin))) (. .)),46,RC_Obj,6,The trainer who the jockey called rubbed the horse 's skin.,Who pet the horse?,The trainer,The jockey,1,Matrix subject,,,,,,1
(S (NP (NP (DT The) (NN veteran)) (SBAR (WHNP (WP who)) (S (VP (VBD admired) (NP (DT the) (NN coach)))))) (VP (VBD defeated) (NP (PRP$ his) (JJS greatest) (NN rival))) (. .)),47,RC_Subj,4,The veteran who admired the coach defeated his greatest rival.,Who defeated their rival?,The coach,The veteran,0,Matrix subject,,,,,,1
(S (NP (NP (DT The) (NN veteran)) (SBAR (WHNP (WP who)) (S (NP (DT the) (NN coach)) (VP (VBD admired))))) (VP (VBD defeated) (NP (PRP$ his) (JJS greatest) (NN rival))) (. .)),47,RC_Obj,6,The veteran who the coach admired defeated his greatest rival.,Who defeated their rival?,The coach,The veteran,0,Matrix subject,,,1,,,
(S (NP (NP (DT The) (NN visitor)) (SBAR (WHNP (WP who)) (S (VP (VBD introduced) (NP (DT the) (NN student)))))) (VP (VBD walked) (PP (IN across) (NP (DT the) (NN quad)))) (. .)),48,RC_Subj,4,The visitor who introduced the student walked across the quad.,Who walked across the quad?,The visitor,The student,1,Matrix subject,,,,,,1
(S (NP (NP (DT The) (NN visitor)) (SBAR (WHNP (WP who)) (S (NP (DT the) (NN student)) (VP (VBN introduced))))) (VP (VBD walked) (PP (IN across) (NP (DT the) (NN quad)))) (. .)),48,RC_Obj,6,The visitor who the student introduced walked across the quad.,Who walked across the quad?,The visitor,The student,1,Matrix subject,,,1,,,
