berkeley_neural_parser_result,item#_in_Provo,item,Sentence,Question,Option1,Option0,Correct answer
"(S (NP (DT These) (NNS days)) (, ,) (NP (NN neuroscience)) (VP (VBZ is) (VP (VBG beginning) (S (VP (TO to) (VP (VB catch) (PRT (RP up)) (PP (TO to) (NP (NP (NNS musicians)) (SBAR (WHNP (WP who)) (S (VP (VBP practice) (ADVP (RB mentally)))))))))))) (. .))",21,83,"These days, neuroscience is beginning to catch up to musicians who practice mentally.",Is neuroscience making progress in understanding how musicians can practice mentally?,Yes,No,1
(S (NP (JJ Hybrid) (NNS vehicles)) (VP (VBP have) (NP (NP (DT a) (NN halo)) (SBAR (WHNP (WDT that)) (S (VP (VBZ makes) (S (S (NP (NNS owners)) (VP (VB feel) (ADJP (JJ righteous)))) (CC and) (S (NP (PRP$ their) (NNS neighbors)) (VP (VB feel) (ADJP (JJ guilty)) (PP (IN for) (S (RB not) (VP (VBG doing) (NP (RB as) (RB much)) (S (VP (TO to) (VP (VB save) (NP (DT the) (NN planet)))))))))))))))) (. .)),24,84,Hybrid vehicles have a halo that makes owners feel righteous and their neighbors feel guilty for not doing as much to save the planet.,Why would the neighbors feel inferior?,They are not as rich,Their cars are not as eco-friendly,0
"(S (S (NP (NN Binge) (NN drinking)) (VP (MD may) (RB not) (ADVP (RB necessarily)) (VP (VP (VB kill)) (CC or) (ADVP (RB even)) (VP (VB damage)) (NP (NN brain) (NNS cells)) (, ,) (SBAR (RB as) (S (VP (ADVP (RB commonly)) (VBN thought))))))) (, ,) (NP (DT a) (JJ new) (NN animal) (NN study)) (VP (VBZ suggests)) (. .))",30,85,"Binge drinking may not necessarily kill or even damage brain cells, as commonly thought, a new animal study suggests.",What do most people think about binge drinking?,It may not damage brain cells,It damages brain cells.,0
"(S (SBAR (WHADVP (WRB When)) (S (VP (VBN attacked)))) (, ,) (NP (NP (DT a) (NN skunk\) (POS 's)) (JJ natural) (NN inclination)) (VP (VBZ is) (S (VP (TO to) (VP (VP (VB turn) (ADVP (RB around))) (, ,) (VP (VB lick) (NP (PRP$ its) (NN tail))) (CC and) (VP (VB spray) (NP (DT a) (JJ noxious) (NN scent))))))) (. .))",33,86,"When attacked, a skunk 's natural inclination is to turn around, lick its tail and spray a noxious scent.",Are skunks inclined to face forward when attacked?,Yes,No,0
(S (NP (NP (DT All)) (SBAR (WHNP (IN that)) (S (NP (DT the) (NN brain)) (VP (VBZ has) (S (VP (TO to) (VP (VB work) (PP (IN with))))))))) (VP (VBP are) (NP (NP (JJ imperfect) (JJ incoming) (JJ electrical) (NNS impulses)) (VP (VBG announcing) (SBAR (IN that) (S (NP (NNS things)) (VP (VBP are) (VP (VBG happening)))))))) (. .)),38,87,All that the brain has to work with are imperfect incoming electrical impulses announcing that things are happening.,Are electrical singals in our brain always correct?,Yes,No,0
(S (NP (EX There)) (ADVP (RB often)) (VP (VBZ seems) (S (VP (TO to) (VP (VB be) (NP (NP (JJR more) (NN diving)) (PP (IN in) (NP (NN soccer))) (PP (IN than) (PP (IN in) (NP (DT the) (NNS Summer) (NNS Olympics))))))))) (. .)),42,88,There often seems to be more diving in soccer than in the Summer Olympics.,Do people frequently dive in soccer?,Yes,No,1
(S (NP (NNP Susan) (NNP B.) (NNP Anthony)) (VP (VBD spent) (NP (NP (QP (RB nearly) (CD sixty)) (NNS years)) (PP (IN of) (NP (PRP$ her) (NN life)))) (ADJP (VBN devoted) (PP (TO to) (NP (NP (DT the) (NN cause)) (PP (IN of) (NP (NP (JJ social) (NN justice)) (CC and) (NP (NP (NN equality)) (PP (IN for) (NP (DT all)))))))))) (. .)),45,89,Susan B. Anthony spent nearly sixty years of her life devoted to the cause of social justice and equality for all.,How would one describe Susan?,Philanthropic,Selfish,1
"(S (ADVP (RB Unfortunately)) (, ,) (PP (IN for) (NP (NP (DT every) (CD six) (NN water) (NNS bottles)) (SBAR (S (NP (PRP we)) (VP (VBP use)))))) (, ,) (NP (RB only) (CD one)) (VP (VBZ makes) (NP (PRP it)) (PP (TO to) (NP (DT the) (NN recycling) (NN bin)))) (. .))",47,90,"Unfortunately, for every six water bottles we use, only one makes it to the recycling bin.",What is the average recycling rate?,Six out of one hundred,One out of six,0
"(S (PP (IN As) (PP (IN in) (NP (DT the) (NNP United) (NNPS States)))) (, ,) (NP (JJ Colombian) (NN legislation)) (VP (VBZ requires) (S (NP (NP (NNS travelers)) (VP (VBG entering) (NP (DT the) (NN country)))) (VP (TO to) (VP (VB declare) (NP (NP (NN cash)) (PP (IN in) (NP (NP (NN excess)) (PP (IN of) (NP (QP (CD ten) (CD thousand)) (NNS dollars)))))))))) (. .))",48,91,"As in the United States, Colombian legislation requires travelers entering the country to declare cash in excess of ten thousand dollars.","As you enter Colombia, do you need to declare cash in excess of fifteen thousand dollars?",Yes,No,1
"(S (S (NP (NN Stress)) (VP (VBZ is) (NP (NP (DT a) (NN risk) (NN factor)) (PP (IN for) (NP (DT both) (NN depression) (CC and) (NN anxiety)))))) (, ,) (NP (PRP he)) (VP (VBZ says)) (. .))",52,92,"Stress is a risk factor for both depression and anxiety, he says.","Is stress a risk factor for depression, but not anxiety?",Yes,No,0
"(S (SBAR (WHADVP (WRB When)) (S (NP (PRP it)) (VP (VBZ comes) (PP (TO to) (S (VP (VBG having) (NP (DT a) (ADJP (JJ lasting) (CC and) (JJ fulfilling)) (NN relationship)))))))) (, ,) (NP (JJ common) (NN wisdom)) (VP (VBZ says) (SBAR (IN that) (S (S (VP (VBG feeling) (ADJP (RB close) (PP (TO to) (NP (PRP$ your) (JJ romantic) (NN partner)))))) (VP (VBZ is) (NP (JJ paramount)))))) (. .))",53,93,"When it comes to having a lasting and fulfilling relationship, common wisdom says that feeling close to your romantic partner is paramount.",Does common wisdom emphasize a healthy distance to maintain a lasting relationship?,Yes,No,0
"(S (NP (NP (NNP Voltaire)) (NP (PRP himself))) (ADVP (RB probably)) (VP (VBD won) (NP (NP (QP (IN around) (PDT half) (DT a) (CD million)) (NNS livres)) (, ,) (NP (DT a) (JJ large) (NN fortune)) (, ,) (SBAR (WHNP (WDT which)) (S (NP (PRP he)) (ADVP (RB then)) (VP (VBD made) (S (ADJP (RB even) (JJR larger)))))))) (. .))",55,94,"Voltaire himself probably won around half a million livres, a large fortune, which he then made even larger.",Was half a million livres considered a significant amount of money?,Yes,No,1
"(S (SBAR (WHADVP (WRB When)) (S (VP (VBG preparing) (S (VP (TO to) (VP (VB check) (ADVP (RB out) (PP (IN of) (NP (PRP$ their) (NN hotel) (NN room)))))))))) (, ,) (NP (DT some) (JJ frequent) (NNS travelers)) (VP (VBP pile) (PRT (RP up)) (NP (PRP$ their) (VBN used) (NN bath) (NNS towels)) (PP (IN on) (NP (DT the) (NN bathroom) (NN floor)))) (. .))",31,95,"When preparing to check out of their hotel room, some frequent travelers pile up their used bath towels on the bathroom floor.",Do frequent travellers sometimes pile clean bath towels on the bathroom floor before checking out of a hotel?,Yes,No,0
(NP (NP (NN Research)) (VP (VBG showing) (SBAR (IN that) (S (NP (NP (DT a) (JJ tiny) (JJ European) (NN river) (NN bug)) (VP (VBD called) (S (NP (DT the) (NN water) (NN boatman))))) (VP (MD may) (VP (VB be) (NP (NP (DT the) (JJS loudest) (NN animal)) (PP (IN on) (NP (NN earth))))))))) (. .)),41,96,Research showing that a tiny European river bug called the water boatman may be the loudest animal on earth.,What makes water boatman distinctive?,Its size,Its sound,0
"(S (SBAR (WHADVP (WRB When)) (S (NP (DT the) (NNP new) (NNP world)) (VP (VBD was) (ADVP (RB first)) (VP (VBN discovered))))) (NP (PRP it)) (VP (VBD was) (VP (VBN found) (S (VP (TO to) (VP (VB be) (, ,) (PP (IN like) (NP (DT the) (JJ old))) (, ,) (ADJP (RB well) (VBN stocked) (PP (IN with) (NP (NNS plants) (CC and) (NNS animals))))))))) (. .))",50,97,"When the new world was first discovered it was found to be, like the old, well stocked with plants and animals.",Was the old world well stocked with plants and animals?,Yes,No,1
(S (NP (NP (NN Police)) (PP (IN in) (NP (NNP Georgia)))) (VP (VBP have) (VP (VBN shut) (PRT (RP down)) (NP (NP (DT a) (NN lemonade) (NN stand)) (VP (VBN run) (PP (IN by) (NP (NP (CD three) (NNS girls)) (VP (VBG trying) (S (VP (TO to) (VP (VB save) (PRT (RP up)) (PP (IN for) (NP (NP (DT a) (NN trip)) (PP (TO to) (NP (DT a) (NN water) (NN park))))))))))))))) (. .)),40,98,Police in Georgia have shut down a lemonade stand run by three girls trying to save up for a trip to a water park.,What was sold at the stand that was shut-down?,Lemonade,Fruit,1
(S (NP (DT An) (JJ early) (NN task)) (VP (MD will) (VP (VB be) (S (VP (TO to) (VP (VB make) (ADJP (JJ sure) (SBAR (S (NP (DT the) (JJ newfound) (NNS microbes)) (VP (VBD were) (RB not) (VP (VBN introduced) (SBAR (IN while) (S (VP (VBG drilling) (PP (PP (IN through) (NP (DT the) (NN ice))) (PP (IN into) (NP (DT the) (NN lake))))))))))))))))) (. .)),26,99,An early task will be to make sure the newfound microbes were not introduced while drilling through the ice into the lake.,When in the process should we determine whether microbes were introduced?,Late,Early,0
(S (NP (NP (NNP Lady) (FW Gaga\) (POS 's)) (NN YouTube) (NN account)) (VP (VBD was) (VP (VBN suspended) (NP (NNP Thursday)))) (. .)),34,100,Lady Gaga 's YouTube account was suspended Thursday.,What account was suspended on Thursday?,Lady Gaga\'s Youtube,Lady Gaga\'s Instagram,1
(S (NP (NNP John) (NNP Thornton)) (VP (VBD asked) (NP (NP (JJ little)) (PP (IN of) (NP (NN man) (CC or) (NN nature))))) (. .)),37,101,John Thornton asked little of man or nature.,Did John Thorton expect a lot from other people?,Yes,No,0
(S (NP (JJ Proper) (NN ventilation)) (VP (MD will) (VP (VB make) (S (NP (DT a) (NN backdraft)) (ADJP (RBR less) (JJ likely))))) (. .)),43,102,Proper ventilation will make a backdraft less likely.,Would proper ventilation reduce backdraft?,Yes,No,1
"(S (PP (IN For) (NP (NNS centuries))) (, ,) (NP (NN time)) (VP (VBD was) (VP (VBN measured) (PP (IN by) (NP (NP (DT the) (NN position)) (PP (IN of) (NP (DT the) (NN sun))))) (PP (IN with) (NP (NP (DT the) (NN use)) (PP (IN of) (NP (NNS sundials))))))) (. .))",,103,"For centuries, time was measured by the position of the sun with the use of sundials.",Were sundials used for centuries?,Yes,No,1
"(S (NP (NP (DT The) (NN girl) (POS 's)) (NNS feet)) (VP (VBD were) (ADVP (RB then)) (VP (ADVP (RB re) (: -)) (VP (VBN wrapped) (ADVP (ADVP (RB even) (RBR tighter)) (PP (IN than) (ADVP (IN before)))) (, ,) (S (VP (VBG causing) (S (NP (PRP her) (NN footprint)) (VP (TO to) (VP (VB shrink) (ADVP (RBR further)))))))))) (. .))",,104,"The girl 's feet were then re-wrapped even tighter than before, causing her footprint to shrink further.",Were the wraps around the girl's feet tighter after they were re-wrapped?,Yes,No,1
"(S (NP (DT The) (NNS astronauts)) (VP (VBD used) (NP (DT a) (JJ hefty) (JJ robotic) (NN arm)) (S (VP (TO to) (VP (VB move) (NP (NP (DT the) (NN bus) (: -) (JJ size) (NN canister)) (, ,) (VP (VBN stuffed) (PP (IN with) (NP (NP (QP (RB nearly) (CD three)) (NNS tons)) (PP (IN of) (NP (NN packing) (NN foam))))))))))) (. .))",,105,"The astronauts used a hefty robotic arm to move the bus-size canister, stuffed with nearly three tons of packing foam.",Did the astronauts move the container by themselves?,Yes,No,0
"(SINV (ADJP (ADJP (RB Very) (JJ similar)) (, ,) (CC but) (ADJP (RB even) (RBR more) (JJ striking)) (, ,)) (VP (VBZ is)) (NP (NP (DT the) (NN evidence)) (PP (IN from) (NP (JJ athletic) (NN training)))) (. .))",,106,"Very similar, but even more striking, is the evidence from athletic training.",Is athletic training the only source of evidence?,Yes,No,0
"(S (S (NP (PRP It)) (VP (VBD was) (NP (DT a) (VBG forbidding) (NN challenge)))) (, ,) (CC and) (S (NP (PRP it)) (VP (VBZ says) (NP (JJ much)) (PP (IN for) (NP (NP (NP (NNP Winstanley) (POS 's)) (JJ persuasive) (NNS abilities)) (, ,) (CONJP (RB not) (TO to) (VB mention)) (NP (PRP$ his) (NN self) (: -) (NN confidence)))))) (. .))",,108,"It was a forbidding challenge, and it says much for Winstanley's persuasive abilities, not to mention his self-confidence.",""",""What better describes Winstanley?",Eloquent Uncertain,Uncertain,1
"(S (SBAR (IN With) (S (S (NP (NNS schools)) (ADVP (RB still)) (VP (VBN closed))) (, ,) (S (NP (NNS cars)) (VP (ADVP (RB still)) (VBN buried))) (CC and) (S (NP (NNS streets)) (ADVP (RB still)) (VP (VBN blocked) (PP (IN by) (NP (DT the) (JJ widespread) (NN weekend) (NN snowstorm))))))) (, ,) (NP (NNS officials)) (VP (VBP are) (VP (VBG asking) (NP (NNS people)) (S (VP (TO to) (VP (VB help) (PRT (RP out))))))) (. .))",,109,"With schools still closed, cars still buried and streets still blocked by the widespread weekend snowstorm, officials are asking people to help out.",",""What happened to the area?",Blizzard Drought,Drought,1
"(S (NP (NN Steam) (NN sterilization)) (VP (VP (VBZ is) (ADJP (ADJP (JJ limited)) (PP (IN in) (NP (NP (DT the) (NNS types)) (PP (IN of) (NP (JJ medical) (NN waste))) (SBAR (S (NP (PRP it)) (VP (MD can) (VP (VB treat))))))))) (, ,) (CC but) (VP (VBZ is) (ADJP (JJ appropriate)) (PP (IN for) (NP (NP (NN laboratory) (NNS substances)) (VP (VBN contaminated) (PP (IN with) (NP (JJ infectious) (NNS organisms)))))))) (. .))",,110,"Steam sterilization is limited in the types of medical waste it can treat, but is appropriate for laboratory substances contaminated with infectious organisms.",",""What is steam sterilization good for?",Any waste Lab waste,Lab waste,0
"(S (PP (PP (IN From) (NP (NN coal))) (PP (TO to) (NP (NNS cars)))) (, ,) (NP (JJ Chinese) (NNS floods)) (VP (VBP tangle) (NP (NN supply) (NNS chains)) (ADVP (RB worldwide))) (. .))",,111,"From coal to cars, Chinese floods tangle supply chains worldwide.",""",""Do the floods have a global economic effect?",Yes No,No,1
(S (NP (DT This) (JJ new) (NN film)) (VP (VBZ marks) (NP (NP (CD 10) (NNS years)) (PP (IN since) (NP (NP (DT the) (NN death)) (PP (IN of) (NP (DT the) (NN superstar))))))) (. .)),,112,This new film marks 10 years since the death of the superstar.,""",""How long has the artist passed away?",For only a few years,For about a decade,0
