berkeley_neural_parser_result,item,Main clause subject number,condition,disambPosition,Sentence,Question,Option1,Option0,Correct answer,Question target
"(S (SBAR (WHADVP (WRB When)) (S (NP (DT the) (NN supervisor)) (VP (VBZ works)))) (, ,) (NP (DT the) (NNS shifts)) (VP (VBZ seems) (ADJP (RB unnecessarily) (JJ stressful)) (PP (IN on) (NP (DT a) (NNP Friday) (NN night)))) (. .))",12,plural,UNAGREE,7,"When the supervisor works, the shifts seems unnecessarily stressful on a Friday night .",Does the supervisor sometimes work on a Friday night?,Yes,No,1,Both
"(S (SBAR (WHADVP (WRB When)) (S (NP (DT the) (NN supervisor)) (VP (VBZ works)))) (, ,) (NP (DT the) (NN shift)) (VP (VBZ seems) (ADJP (RB unnecessarily) (JJ stressful)) (PP (IN on) (NP (DT a) (NNP Friday) (NN night)))) (. .))",12,singular,AGREE,7,"When the supervisor works, the shift seems unnecessarily stressful on a Friday night .",Does the supervisor sometimes work on a Friday night?,Yes,No,1,Both
"(S (SBAR (IN After) (S (NP (DT the) (NN diplomat)) (VP (VBZ signs)))) (, ,) (NP (DT the) (NNS agreements)) (VP (VBZ creates) (NP (DT another) (NN border) (NN conflict)) (PP (IN as) (NP (DT a) (NN side) (NN effect)))) (. .))",14,plural,UNAGREE,7,"After the diplomat signs, the agreements creates another border conflict as a side effect .",Do the agreements lead to peace?,Yes,No,0,Main clause
"(S (SBAR (IN After) (S (NP (DT the) (NN diplomat)) (VP (VBZ signs)))) (, ,) (NP (DT the) (NN agreement)) (VP (VBZ creates) (NP (DT another) (NN border) (NN conflict)) (PP (IN as) (NP (DT a) (NN side) (NN effect)))) (. .))",14,singular,AGREE,7,"After the diplomat signs, the agreement creates another border conflict as a side effect .",Does the agreement lead to peace?,Yes,No,0,Main clause
"(S (SBAR (WHADVP (WRB Whenever)) (S (NP (DT the) (NN reporter)) (VP (VBZ moves)))) (, ,) (NP (DT the) (NNS cameras)) (VP (VBZ requires) (NP (NP (JJ constant) (NN adjustment)) (PP (IN from) (NP (DT the) (NN director))))) (. .))",15,plural,UNAGREE,7,"Whenever the reporter moves, the cameras requires constant adjustment from the director .",Does the director move the camera?,Yes,No,1,Ambiguity (correct)
"(S (SBAR (WHADVP (WRB Whenever)) (S (NP (DT the) (NN reporter)) (VP (VBZ moves)))) (, ,) (NP (DT the) (NN camera)) (VP (VBZ requires) (NP (NP (JJ constant) (NN adjustment)) (PP (IN from) (NP (DT the) (NN director))))) (. .))",15,singular,AGREE,7,"Whenever the reporter moves, the camera requires constant adjustment from the director .",Does the director move the camera?,Yes,No,1,Ambiguity (correct)
"(S (SBAR (IN Unless) (S (NP (DT the) (NN dog)) (VP (NNS attacks)))) (, ,) (NP (DT the) (NNS cats)) (VP (VBZ remains) (ADJP (RB relatively) (JJ tranquil)) (PP (IN throughout) (NP (DT the) (NN day)))) (. .))",16,plural,UNAGREE,7,"Unless the dog attacks, the cats remains relatively tranquil throughout the day .",Do the cats usually remain calm?,Yes,No,1,Main clause
"(S (SBAR (IN Unless) (S (NP (DT the) (NN dog)) (VP (VBZ attacks)))) (, ,) (NP (DT the) (NN cat)) (VP (VBZ remains) (ADJP (RB relatively) (JJ tranquil)) (PP (IN throughout) (NP (DT the) (NN day)))) (. .))",16,singular,AGREE,7,"Unless the dog attacks, the cat remains relatively tranquil throughout the day .",Does the cat usually remain calm?,Yes,No,1,Main Clause
"(S (SBAR (IN Until) (S (NP (DT the) (JJ lead) (NN architect)) (VP (VBZ leaves)))) (, ,) (NP (DT the) (NNS projects)) (VP (VBZ demands) (NP (JJ immense) (NN patience)) (PP (IN from) (NP (DT the) (NNS engineers)))) (. .))",17,plural,UNAGREE,8,"Until the lead architect leaves, the projects demands immense patience from the engineers .",Has the lead architect left?,Yes,No,0,Subordinate clause
"(S (SBAR (IN Until) (S (NP (DT the) (JJ lead) (NN architect)) (VP (VBZ leaves)))) (, ,) (NP (DT the) (NN project)) (VP (VBZ demands) (NP (NP (JJ immense) (NN patience)) (PP (IN from) (NP (DT the) (NNS engineers))))) (. .))",17,singular,AGREE,8,"Until the lead architect leaves, the project demands immense patience from the engineers .",Has the lead architect left?,Yes,No,0,Subordinate clause
"(S (SBAR (RB Even) (IN if) (S (NP (DT the) (NN mother)) (VP (VBZ calls)))) (, ,) (NP (PRP$ her) (NNS boys)) (VP (VBZ continues) (S (VP (VBG causing) (NP (NNS problems)) (PP (IN with) (NP (NP (DT the) (JJ other) (NNS kids)) (PP (IN on) (NP (DT the) (NN playground)))))))) (. .))",19,plural,UNAGREE,8,"Even if the mother calls, her boys continues causing problems with the other kids on the playground .",Do the boys behave themselves after their mother calls?,Yes,No,0,Both
"(S (SBAR (RB Even) (IN if) (S (NP (DT the) (NN mother)) (VP (VBZ calls)))) (, ,) (NP (PRP$ her) (NN boy)) (VP (VBZ continues) (S (VP (VBG causing) (NP (NNS problems)) (PP (IN with) (NP (NP (DT the) (JJ other) (NNS kids)) (PP (IN on) (NP (DT the) (NN playground)))))))) (. .))",19,singular,AGREE,8,"Even if the mother calls, her boy continues causing problems with the other kids on the playground .",Does the boy behave himself after his mother calls?,Yes,No,0,Both
"(S (SBAR (IN After) (S (NP (DT the) (NN tutor)) (VP (VBZ stops)))) (, ,) (NP (DT the) (NNS students)) (VP (VBZ starts) (S (VP (VBG working) (ADVP (RB independently)) (PP (IN on) (NP (DT the) (NNS questions)))))) (. .))",20,plural,UNAGREE,7,"After the tutor stops, the students starts working independently on the questions .",Does the tutor stop the students?,Yes,No,0,Ambiguity (incorrect)
"(S (SBAR (IN After) (S (NP (DT the) (NN tutor)) (VP (VBZ stops)))) (, ,) (NP (DT the) (NN student)) (VP (VBZ starts) (S (VP (VBG working) (ADVP (RB independently)) (PP (IN on) (NP (DT the) (NNS questions)))))) (. .))",20,singular,AGREE,7,"After the tutor stops, the student starts working independently on the questions .",Does the tutor stop the student?,Yes,No,0,Ambiguity (incorrect)
"(S (SBAR (RB Once) (S (NP (DT the) (NN head) (NN surgeon)) (VP (VBZ begins)))) (, ,) (NP (DT the) (NNS operations)) (VP (VBZ achieves) (NP (JJ incredible) (NNS results)) (PP (VBN given) (NP (NP (DT the) (NNS risks)) (VP (VBN involved))))) (. .))",21,plural,UNAGREE,8,"Once the head surgeon begins, the operations achieves incredible results given the risks involved .",Are the operations successful?,Yes,No,1,Main clause
"(S (SBAR (RB Once) (S (NP (DT the) (NN head) (NN surgeon)) (VP (VBZ begins)))) (, ,) (NP (DT the) (NN operation)) (VP (VBZ achieves) (NP (JJ incredible) (NNS results)) (PP (VBN given) (NP (NP (DT the) (NNS risks)) (VP (VBN involved))))) (. .))",21,singular,AGREE,8,"Once the head surgeon begins, the operation achieves incredible results given the risks involved .",Is the operation successful?,Yes,No,1,Main clause
"(S (SBAR (IN After) (S (NP (DT the) (NN producer)) (VP (VBZ starts)))) (, ,) (NP (DT the) (NNS auditions)) (VP (VBZ separates) (NP (JJ mediocre) (NNS actors)) (PP (IN from) (NP (JJ talented) (NNS ones)))) (. .))",23,plural,UNAGREE,7,"After the producer starts, the auditions separates mediocre actors from talented ones .",Do some actors perform better than others at the audition?,Yes,No,1,Main clause
"(S (SBAR (IN After) (S (NP (DT the) (NN producer)) (VP (VBZ starts)))) (, ,) (NP (DT the) (NN audition)) (VP (VBZ separates) (NP (JJ mediocre) (NNS actors)) (PP (IN from) (NP (JJ talented) (NNS ones)))) (. .))",23,singular,AGREE,7,"After the producer starts, the audition separates mediocre actors from talented ones .",Do some actors perform better than others at the auditions?,Yes,No,1,Main clause
"(S (SBAR (WHADVP (RB However) (RB hard)) (S (NP (DT the) (NN scientist)) (VP (VBZ works)))) (, ,) (NP (PRP$ his) (NNS experiments)) (VP (VBZ produces) (NP (NP (JJR smaller) (NNS amounts)) (PP (IN of) (NP (NN alcohol))) (SBAR (IN than) (S (VP (VBN expected)))))) (. .))",24,plural,UNAGREE,8,"However hard the scientist works, his experiments produces smaller amounts of alcohol than expected .",Do the experiments produce excessive alcohol?,Yes,No,0,Main clause
"(S (SBAR (WHADVP (RB However) (RB hard)) (S (NP (DT the) (NN scientist)) (VP (VBZ works)))) (, ,) (NP (PRP$ his) (NN experiment)) (VP (VBZ produces) (NP (NP (JJR smaller) (NNS amounts)) (PP (IN of) (NP (NN alcohol))) (SBAR (IN than) (S (VP (VBN expected)))))) (. .))",24,singular,AGREE,8,"However hard the scientist works, his experiment produces smaller amounts of alcohol than expected .",Does the experiment produce excessive alcohol?,Yes,No,0,Main clause
